id_proyek,P001,P002,F001,F002,F003,S001,S002,S003,D001,D002,A001,A002,FN001,FN002,FN003,M001,M002,M003
PROJ_0012,405.68,452.46,1384.54,1473.65,1054.33,1271.88,1553.6,1468.59,1039.77,856.28,407.66,497.38,1057.69,1248.06,1533.83,356.03,477.35,391.92
PROJ_0013,452.69,433.66,379.76,291.62,333.12,402.33,325.09,322.92,213.42,311.47,463.63,450.89,541.66,499.74,488.79,580.25,625.47,521.5
PROJ_0014,625.55,609.03,678.55,744.7,618.33,944.25,922.19,928.23,538.82,501.16,511.01,482.87,1530.72,1495.48,2158.65,898.48,923.82,1224.77
PROJ_0015,752.4,809.02,1227.48,1344.71,1231.0,1078.66,1160.19,1046.7,729.72,767.54,674.87,869.85,2197.4,2093.23,2183.45,1657.5,1358.97,1566.5
PROJ_0016,599.85,436.33,1161.31,969.22,930.98,1242.27,1344.33,1060.3,863.13,769.38,572.16,587.3,2740.85,2754.72,2241.83,1131.29,1123.4,1126.69
PROJ_0017,104.53,123.32,242.83,210.34,224.01,270.65,304.13,248.05,228.19,205.29,139.13,124.62,251.92,264.07,295.14,125.59,127.44,131.14
PROJ_0018,349.53,264.53,267.67,264.04,310.87,291.84,288.89,346.7,208.59,185.64,306.64,289.81,319.29,388.14,441.97,523.51,389.2,492.2
PROJ_0019,138.3,188.82,278.29,337.26,298.69,373.09,340.71,389.77,229.14,298.48,171.21,188.74,914.76,962.62,713.89,293.64,288.96,290.55
PROJ_0020,575.16,666.72,1997.98,1688.29,1763.29,1751.67,1796.36,1349.82,1126.31,1261.86,555.72,588.68,2493.59,2493.11,2427.18,934.91,758.07,775.35
PROJ_0021,739.73,743.65,1164.16,1225.1,1119.0,1170.93,993.91,992.68,658.93,677.98,882.98,757.76,2156.58,2671.04,2472.25,1173.89,1345.34,1264.4
PROJ_0022,726.65,622.45,753.29,749.64,941.81,811.28,1143.16,864.92,760.7,713.46,712.92,604.63,2556.11,2638.46,1834.05,1192.13,1589.02,1395.08
PROJ_0023,217.58,222.92,969.09,992.71,947.02,986.23,832.92,768.2,601.67,573.12,225.11,207.05,714.13,823.18,612.8,246.84,267.57,264.17
PROJ_0024,333.2,337.26,271.17,210.28,247.5,286.37,247.01,224.68,177.89,196.39,313.81,282.97,423.66,438.85,330.2,527.32,363.21,526.49
PROJ_0025,302.28,206.03,282.93,304.15,297.56,334.62,287.27,234.08,233.45,214.12,267.75,247.53,263.36,220.53,280.55,212.48,279.53,291.74
PROJ_0026,352.48,357.8,824.07,1058.32,974.09,928.74,852.61,870.16,702.51,838.99,422.26,342.12,1528.72,1271.39,1524.53,479.37,559.97,625.84
PROJ_0027,214.95,256.37,284.39,204.74,198.82,280.04,245.02,216.9,188.52,209.73,217.54,222.3,270.91,239.91,270.63,232.9,281.12,252.36
PROJ_0028,277.61,378.52,979.77,842.95,847.3,1163.59,886.43,990.0,673.78,768.65,316.76,330.87,897.26,799.81,1029.02,311.43,347.86,276.66
PROJ_0029,217.49,242.82,530.61,517.12,607.03,564.97,601.23,616.22,349.37,434.62,270.12,278.93,1134.16,1502.72,1588.9,436.81,561.9,596.99
PROJ_0030,259.92,317.11,898.37,999.66,1017.36,638.93,764.87,796.8,488.43,531.55,368.2,248.48,1046.24,1212.68,991.38,423.15,508.17,422.31
PROJ_0031,274.89,264.67,911.9,701.49,775.26,593.34,687.83,831.56,516.5,613.24,310.82,344.63,1844.4,1579.12,1470.27,736.71,616.59,652.93
PROJ_0032,262.53,192.85,405.97,358.28,421.92,426.92,520.03,423.26,377.47,319.42,221.58,220.98,1198.09,1087.73,1041.33,503.2,453.69,390.52
PROJ_0033,116.0,93.71,244.68,299.35,254.87,295.48,362.62,281.26,269.47,281.94,104.26,108.41,325.63,359.14,280.98,86.51,100.77,101.33
PROJ_0034,356.31,427.5,329.51,478.97,370.48,367.04,379.4,403.16,297.61,266.05,372.9,358.77,389.14,390.21,382.66,380.85,341.88,331.32
PROJ_0035,353.22,442.17,1439.18,1409.21,1205.03,1340.15,1225.15,1468.3,1064.32,1094.93,464.44,390.47,1331.42,1350.44,1110.83,469.85,335.93,480.28
PROJ_0036,422.16,319.01,809.62,620.02,844.35,938.52,872.54,957.85,511.55,554.96,392.45,332.02,1865.54,1726.09,1823.26,739.17,877.64,692.0
PROJ_0037,552.82,463.46,741.17,796.8,769.81,790.62,876.54,753.65,599.08,653.56,499.48,584.44,1077.81,1418.36,1329.98,850.39,813.3,613.84
PROJ_0038,409.29,351.54,608.74,558.18,488.91,696.07,502.57,609.17,470.2,355.77,448.91,486.59,1116.46,1356.61,1219.62,862.79,686.45,951.6
PROJ_0039,173.68,131.16,92.93,103.51,108.72,107.48,94.88,92.58,95.99,78.57,183.84,158.87,292.24,208.78,211.4,351.56,353.7,277.77
PROJ_0040,225.15,234.45,692.96,628.1,831.25,710.87,853.46,652.15,467.77,608.87,223.61,253.86,600.57,846.02,788.27,274.97,204.25,221.81
PROJ_0041,240.62,257.78,700.09,628.08,722.03,755.91,799.95,736.6,551.54,640.56,242.64,238.29,772.33,844.86,725.08,262.89,301.37,256.23
PROJ_0042,125.7,120.69,177.87,209.87,233.13,283.86,233.64,198.9,177.09,146.99,126.79,115.55,588.26,619.78,567.85,225.71,237.99,245.59
PROJ_0043,568.07,403.21,809.8,702.11,906.16,769.09,702.83,635.43,494.0,571.04,465.56,442.16,1906.1,1824.38,1451.86,907.76,1176.94,1072.44
PROJ_0044,122.17,108.0,143.47,127.27,170.26,140.24,137.61,187.35,147.21,137.6,123.38,124.1,380.04,362.64,393.39,227.56,243.19,271.26
PROJ_0045,254.46,176.61,405.21,370.55,399.67,356.3,338.71,430.53,282.78,330.69,187.08,190.24,510.46,441.85,480.6,380.54,281.51,280.13
PROJ_0046,304.2,295.26,406.68,374.57,445.5,370.74,420.99,466.3,361.63,298.76,323.74,260.88,855.11,815.24,1074.79,540.9,643.89,488.5
PROJ_0047,154.58,153.12,112.8,109.28,111.04,169.51,132.74,151.37,104.81,120.77,134.4,135.04,161.41,116.11,152.86,110.79,133.79,155.86
PROJ_0048,634.53,639.3,1347.13,1439.54,1408.59,1650.84,1612.07,1523.47,1097.78,1071.77,609.99,554.51,2564.21,2323.17,1905.04,962.03,1016.96,799.07
PROJ_0049,123.87,115.7,353.76,477.32,516.19,388.69,522.35,393.82,358.34,381.0,135.89,115.83,448.45,516.89,390.12,126.11,122.34,147.18
PROJ_0050,674.56,725.43,476.83,500.99,485.96,428.15,486.95,437.7,322.82,406.25,743.21,824.32,1046.52,1098.71,1076.92,1094.95,1162.19,1313.36
PROJ_0051,213.35,302.53,292.24,302.44,380.51,317.39,438.99,412.56,227.71,296.32,289.69,303.53,972.9,935.11,889.64,479.36,556.72,610.32
PROJ_0052,145.94,150.27,219.93,248.71,270.51,178.71,182.18,210.06,149.28,154.71,123.27,144.64,485.6,486.02,499.58,306.84,297.97,314.74
PROJ_0053,502.69,485.98,1497.42,1207.26,1306.06,1331.13,1513.14,1411.0,800.71,992.94,460.97,567.25,2030.67,1862.62,1861.12,671.83,702.76,822.8
PROJ_0054,367.65,340.17,511.54,442.88,462.89,434.22,469.93,582.94,360.74,321.82,303.23,336.72,1267.08,1072.5,1247.63,756.73,569.92,704.34
PROJ_0055,586.61,476.2,338.82,482.93,476.38,458.32,463.8,401.92,372.62,330.21,436.8,576.2,731.13,701.06,564.29,610.58,874.34,873.36
PROJ_0056,290.21,302.81,188.14,184.87,161.93,176.21,187.64,238.39,131.15,136.1,311.54,270.78,413.17,489.59,452.31,601.92,667.48,493.01
PROJ_0057,89.73,89.4,261.41,243.13,242.1,268.25,273.46,204.96,218.66,191.13,85.67,73.22,185.95,231.9,231.66,75.06,72.06,69.29
PROJ_0058,435.55,409.31,852.96,624.06,666.21,724.71,803.48,789.57,607.43,677.79,426.61,502.69,872.39,974.64,1061.37,524.97,676.62,692.29
PROJ_0059,181.28,166.09,412.46,379.54,323.33,304.91,385.51,434.95,212.87,270.08,193.67,199.0,839.92,864.57,889.92,377.38,280.14,386.26
PROJ_0060,381.7,534.34,391.26,413.47,377.53,506.75,483.77,448.88,369.43,362.09,521.43,545.07,499.74,400.24,432.45,548.87,393.52,453.45
PROJ_0061,422.54,423.72,831.0,919.29,846.69,869.87,641.82,677.38,600.64,512.95,382.85,337.64,829.04,809.69,715.94,398.19,326.14,358.18
PROJ_0062,99.33,129.31,255.21,262.35,260.12,294.3,221.59,291.54,185.95,175.19,115.73,105.89,206.89,202.61,188.25,112.84,130.53,118.88
PROJ_0063,264.7,255.0,517.52,463.95,592.82,507.83,627.54,637.56,432.58,480.97,256.6,322.74,1432.94,1469.34,1398.9,597.73,628.55,508.23
PROJ_0064,535.21,522.02,746.46,890.73,728.67,715.66,587.47,620.9,576.32,486.21,485.71,455.66,1579.68,1778.89,1835.53,787.47,979.46,938.55
PROJ_0065,79.47,74.4,145.84,150.29,156.99,167.27,165.34,188.46,133.55,113.88,85.14,86.75,130.93,157.03,138.95,83.27,68.06,81.21
PROJ_0066,174.1,193.86,682.91,551.51,666.02,760.95,732.4,551.78,522.43,376.52,184.76,221.62,622.72,586.58,553.03,217.11,209.18,190.56
PROJ_0067,793.12,611.45,793.5,966.21,1086.56,903.76,904.73,860.42,836.66,651.18,732.13,874.77,1839.1,2336.63,2296.23,1539.6,1291.64,1321.83
PROJ_0068,258.07,326.27,276.24,211.96,237.43,315.67,218.54,250.84,202.77,185.23,293.0,317.25,324.61,376.41,402.76,459.84,373.75,507.9
PROJ_0069,632.92,804.56,457.95,539.86,428.02,466.63,532.87,433.83,345.37,422.77,880.72,645.88,1397.81,1356.8,1391.8,1570.49,1556.36,1469.6
PROJ_0070,166.6,183.32,395.74,436.29,390.45,610.28,506.76,554.44,428.21,450.8,135.76,175.81,543.99,386.01,518.87,147.88,166.33,157.88
PROJ_0071,220.55,208.4,619.84,615.85,772.34,757.34,713.93,867.0,629.37,594.77,286.45,232.82,830.34,607.6,802.22,291.67,277.83,251.78
PROJ_0072,75.65,67.77,92.6,95.74,103.62,78.96,65.3,82.24,48.82,51.72,67.07,78.65,62.89,62.37,58.89,82.75,77.57,58.75
PROJ_0073,442.01,557.59,497.41,565.88,530.55,583.96,457.01,535.19,298.41,429.43,703.7,646.64,671.52,604.73,766.13,894.46,726.31,801.25
PROJ_0074,427.94,491.12,388.62,382.73,383.7,361.64,377.77,325.83,322.84,281.84,458.97,422.67,479.89,562.07,484.91,538.02,721.32,619.4
PROJ_0075,202.22,206.56,597.92,492.95,585.81,686.8,621.69,568.14,466.9,417.65,222.22,232.43,738.43,670.41,769.37,270.66,307.19,325.86
PROJ_0076,508.19,353.08,303.04,284.11,233.54,286.05,269.39,281.89,210.35,222.07,467.77,370.1,624.78,605.04,736.86,807.72,883.78,770.53
PROJ_0077,350.6,509.44,365.16,368.37,371.78,567.99,498.72,497.31,413.84,289.37,515.18,381.74,454.32,419.16,412.9,507.69,372.25,519.09
PROJ_0078,301.48,335.65,940.23,651.85,925.96,894.83,942.43,748.95,642.06,677.58,337.19,295.84,1066.41,1356.41,966.78,514.9,570.12,381.58
PROJ_0079,244.8,302.93,233.36,293.37,304.04,268.75,245.6,280.09,195.92,166.72,314.55,353.67,377.62,350.01,328.74,354.43,381.41,341.74
PROJ_0080,144.79,107.75,272.93,210.27,221.42,214.94,206.59,248.72,191.19,185.86,113.11,145.83,260.33,353.1,305.17,169.9,156.86,146.3
PROJ_0081,363.63,471.37,754.14,800.66,566.37,768.74,669.38,754.13,500.48,492.5,451.04,382.6,998.52,1071.99,860.64,711.08,607.99,684.13
PROJ_0082,492.99,503.41,840.91,890.13,809.17,775.87,715.01,887.58,511.79,555.12,414.7,512.94,1003.26,1212.27,1296.08,786.29,643.53,710.24
PROJ_0083,56.39,54.4,70.1,58.35,78.65,50.77,68.47,62.78,39.51,48.32,45.86,61.04,56.98,46.44,45.75,60.52,50.44,63.56
PROJ_0084,135.89,132.75,134.53,159.94,174.06,113.2,125.89,120.94,94.2,107.94,121.73,126.48,113.86,105.35,111.53,140.7,128.04,117.0
PROJ_0085,114.94,85.06,278.58,275.64,368.99,367.92,355.91,272.6,215.98,260.6,98.04,120.48,341.72,302.5,339.84,122.59,101.39,108.87
PROJ_0086,204.89,157.86,270.18,196.33,247.89,286.52,269.2,256.94,195.99,161.12,165.9,169.97,607.88,571.4,525.21,404.75,333.3,343.42
PROJ_0087,166.27,150.55,125.65,112.63,92.75,149.98,142.48,137.81,105.58,106.97,172.04,192.17,300.01,260.74,255.52,291.72,366.99,383.77
PROJ_0088,546.67,458.62,1047.94,1165.96,1210.25,1271.55,1252.27,1270.24,902.96,939.18,488.17,405.4,825.09,946.55,894.04,429.65,584.73,434.69
PROJ_0089,278.42,259.74,496.92,503.52,438.69,456.46,377.16,506.7,288.74,282.89,276.32,270.75,576.55,619.15,507.91,377.26,320.43,320.74
PROJ_0090,223.14,240.7,192.47,202.62,180.84,165.97,192.36,161.11,148.0,162.03,267.14,319.35,360.91,351.39,468.08,569.87,586.81,424.53
PROJ_0091,639.8,547.55,884.48,834.44,1150.47,871.69,1194.13,1114.92,840.22,833.04,713.47,545.07,1152.47,1496.75,1355.82,733.98,755.53,805.85
PROJ_0092,208.68,207.34,881.81,699.18,901.83,986.07,712.7,903.09,629.19,650.92,211.3,220.61,627.98,787.49,903.15,269.34,273.24,300.85
PROJ_0093,95.12,72.47,101.84,83.99,71.19,81.64,95.63,73.5,59.0,51.48,79.18,80.06,121.08,127.16,95.16,121.92,116.95,107.99
PROJ_0094,531.62,562.12,882.06,795.51,851.13,639.45,657.84,895.25,613.28,649.08,647.74,588.38,2032.2,1677.19,1390.51,858.85,878.39,872.51
PROJ_0095,531.67,610.7,525.76,488.0,404.39,569.48,488.01,417.17,343.73,351.27,557.01,688.68,779.96,761.76,604.48,952.19,907.88,744.31
PROJ_0096,364.8,342.13,560.07,484.94,578.2,530.36,546.6,538.6,542.61,419.68,351.49,346.55,998.16,882.69,1005.36,475.26,437.01,528.22
PROJ_0097,223.76,267.3,549.39,471.77,566.94,535.83,476.62,522.39,310.98,428.0,213.84,234.94,1223.66,974.5,991.83,514.42,395.3,472.63
PROJ_0098,269.42,256.67,504.29,636.69,680.04,542.41,750.1,657.62,486.91,499.49,311.51,324.84,572.19,583.69,535.41,242.53,306.97,234.27
PROJ_0099,217.55,200.21,209.43,252.26,251.28,254.6,219.8,255.89,179.94,208.06,246.55,238.19,237.76,283.58,263.5,238.71,237.01,193.73
PROJ_0100,240.11,189.24,552.25,734.26,665.54,551.31,555.22,545.43,509.11,405.7,239.36,239.65,623.27,640.55,561.06,168.42,223.38,171.51
PROJ_0101,564.35,625.42,726.1,878.2,976.93,1111.8,1033.6,1129.87,694.61,822.27,723.47,641.66,2655.62,2052.02,1827.63,1213.74,1280.85,1272.55
PROJ_0102,266.6,304.46,322.76,354.92,329.49,437.04,334.17,325.79,281.94,300.96,314.89,291.7,976.4,842.23,715.57,446.92,430.58,491.87
PROJ_0103,103.01,97.27,211.4,204.8,221.09,201.84,175.43,177.56,142.29,142.91,103.51,104.21,278.03,273.21,220.34,151.15,179.12,126.09
PROJ_0104,155.89,118.11,91.26,88.25,73.17,116.73,98.3,118.29,66.59,83.47,170.2,148.91,200.44,244.36,231.96,321.54,266.37,247.72
PROJ_0105,349.99,441.71,1217.01,830.0,1121.39,1317.47,933.9,949.83,881.24,866.84,366.84,502.6,1548.88,1784.44,1766.51,690.53,617.7,552.84
PROJ_0106,472.13,395.79,1502.78,1206.12,1419.31,1277.25,1429.65,1387.73,1184.67,1260.07,387.6,536.99,1616.91,1323.85,1502.87,452.65,405.85,476.4
PROJ_0107,85.12,117.44,198.85,191.87,174.25,191.31,223.25,168.14,112.93,139.37,102.93,102.65,204.72,264.82,230.93,133.9,124.87,144.7
PROJ_0108,842.96,684.18,522.96,538.08,454.45,605.86,578.0,549.52,312.47,317.8,934.11,868.96,1433.53,1416.32,985.98,1634.91,1435.39,1633.57
PROJ_0109,42.54,48.51,58.33,59.21,55.54,53.67,53.88,69.18,41.37,41.5,54.11,51.08,54.12,51.57,59.93,61.67,62.16,54.36
PROJ_0110,282.31,312.73,656.22,592.56,624.24,699.31,680.66,698.4,408.51,462.1,299.2,231.49,660.3,603.44,492.26,325.57,314.09,318.86
PROJ_0111,604.23,720.97,975.65,1038.9,808.58,979.87,1007.03,951.06,672.67,757.11,722.47,613.8,2491.54,2279.52,2515.84,1501.08,1474.63,1392.01
PROJ_0112,754.65,628.19,490.36,533.16,486.02,608.3,447.42,504.95,386.52,375.16,650.46,664.32,1367.73,1197.47,987.48,1166.34,1430.66,1251.88
PROJ_0113,517.22,534.47,852.1,991.25,823.86,968.98,1215.14,1070.15,882.85,680.75,445.5,472.45,948.38,1146.3,808.56,545.3,547.54,488.17
PROJ_0114,364.54,391.79,594.21,725.53,647.55,834.22,747.78,716.88,562.17,519.22,489.35,368.04,1156.04,1093.38,1112.25,579.21,661.86,538.12
PROJ_0115,170.14,131.85,426.34,451.97,429.16,485.23,573.27,458.74,405.86,306.58,170.37,171.99,443.83,503.11,538.72,172.52,147.25,153.03
PROJ_0116,158.76,130.95,133.46,110.82,133.57,109.26,107.04,156.96,109.27,109.78,182.63,150.88,163.28,152.08,178.59,190.21,251.52,171.7
PROJ_0117,48.01,50.32,49.26,49.86,59.5,57.35,64.43,71.22,46.64,48.29,52.99,48.38,51.98,66.4,58.73,51.02,54.9,63.52
PROJ_0118,621.21,596.12,1679.16,1555.36,1538.07,1401.89,1348.51,1898.28,1210.03,1124.74,652.95,519.99,2463.72,1935.13,2448.37,885.0,794.98,708.95
PROJ_0119,505.72,390.89,442.21,593.95,506.48,472.04,443.93,564.86,330.08,317.56,414.74,395.69,416.25,374.1,387.67,434.1,517.15,369.49
PROJ_0120,454.57,597.49,1781.17,1651.4,1380.85,1367.1,1249.25,1202.57,977.89,1058.35,525.23,581.07,1769.03,1807.24,2149.93,886.98,715.56,792.44
PROJ_0121,615.1,554.4,591.38,468.94,523.95,492.44,432.53,414.72,338.11,425.13,753.16,685.85,917.51,1170.12,941.52,1372.97,1486.05,1308.74
PROJ_0122,349.05,310.79,204.91,245.92,291.79,249.81,286.54,298.82,166.84,174.32,377.48,432.34,617.08,691.75,725.5,837.44,908.45,836.22
PROJ_0123,449.5,446.38,860.58,883.13,925.01,858.2,914.75,871.98,718.92,613.09,444.39,441.18,933.59,708.86,854.07,434.49,462.76,458.13
PROJ_0124,232.65,233.16,391.85,537.87,407.71,541.9,556.03,485.51,319.83,316.61,258.23,226.97,377.9,491.24,406.83,260.03,208.79,198.9
PROJ_0125,65.88,79.36,278.8,312.99,280.37,244.41,235.85,237.57,222.05,164.2,94.43,73.53,197.98,213.18,195.14,88.16,79.4,73.85
PROJ_0126,270.89,267.69,249.3,251.11,227.32,262.85,260.48,232.39,183.47,140.99,304.04,326.51,265.21,360.75,373.08,339.81,385.39,446.91
PROJ_0127,556.52,400.04,1589.81,1826.1,1503.55,1442.29,1255.25,1336.04,1156.12,1197.07,498.0,522.33,1362.22,1282.25,1136.79,414.85,434.73,409.5
PROJ_0128,48.48,51.78,53.32,52.59,58.71,61.56,56.49,47.03,41.03,32.99,63.2,62.15,72.83,68.39,80.57,102.27,99.67,94.6
PROJ_0129,512.95,410.44,1375.63,1285.73,1147.18,1293.63,1631.38,1458.41,1000.66,1059.27,528.42,540.77,1735.6,1848.92,2035.14,618.35,847.23,692.02
PROJ_0130,614.84,605.71,405.32,398.52,452.15,421.6,459.25,454.73,273.36,279.11,592.62,556.85,904.1,913.35,994.68,1017.6,1285.49,1117.37
PROJ_0131,339.9,261.43,930.68,764.23,1008.28,971.42,1222.41,963.3,772.83,680.47,329.09,309.86,893.25,830.35,795.62,266.26,376.68,302.99
PROJ_0132,67.26,99.22,54.3,65.01,73.05,71.82,66.85,60.7,53.3,36.54,107.05,102.12,164.02,126.27,119.98,178.97,169.07,169.56
PROJ_0133,209.4,187.6,496.42,515.53,458.27,518.0,506.43,664.02,464.81,434.81,170.0,191.06,604.21,618.89,547.1,201.9,179.81,177.18
PROJ_0134,316.34,263.46,529.02,508.92,556.13,618.09,646.17,590.32,391.76,506.4,276.27,344.21,1218.46,1413.15,1400.21,624.57,472.26,642.51
PROJ_0135,407.05,415.85,538.18,436.52,535.38,533.84,552.5,624.76,428.41,359.03,355.57,374.88,1174.31,1398.05,1167.31,926.76,710.66,672.51
PROJ_0136,809.23,645.91,455.01,555.11,552.36,560.25,426.95,535.16,448.6,442.27,632.14,719.17,1085.99,998.84,1263.86,1279.72,1319.69,1176.45
PROJ_0137,141.88,122.58,138.14,121.74,167.78,134.02,157.57,137.27,94.35,100.07,116.71,121.52,141.63,150.62,118.56,138.65,146.61,126.9
PROJ_0138,62.62,54.7,117.22,130.24,157.9,174.02,173.06,140.73,87.89,98.15,63.01,56.72,276.57,323.82,308.84,115.12,143.41,124.46
PROJ_0139,125.94,98.96,93.41,80.38,91.83,87.13,87.5,105.74,66.65,63.95,140.16,97.74,141.6,140.66,124.23,162.47,138.29,180.26
PROJ_0140,621.19,613.27,1294.48,1623.01,1563.78,1812.69,1631.28,1638.02,1109.47,1299.66,748.84,702.37,3691.24,3559.5,2969.38,1338.01,1293.61,1591.95
PROJ_0141,435.33,516.34,595.94,671.85,521.01,784.98,665.78,606.53,437.54,442.14,461.98,530.46,1799.26,1628.11,1553.77,896.19,1035.12,1042.97
PROJ_0142,601.23,774.39,1256.0,1468.36,1555.8,1559.58,1246.87,1491.79,888.87,1170.1,638.04,753.8,3815.13,2859.3,3137.04,1388.15,1268.87,1140.48
PROJ_0143,357.44,423.95,388.9,377.86,316.54,395.74,382.62,367.24,320.53,271.25,484.76,557.87,559.15,576.27,456.53,575.55,555.16,730.57
PROJ_0144,475.3,366.45,446.34,467.24,521.12,483.35,495.33,535.6,307.72,356.49,429.01,386.46,487.28,351.2,454.53,457.19,488.61,422.11
PROJ_0145,129.55,157.79,206.15,186.02,205.93,185.6,211.93,234.49,137.97,147.82,175.65,166.55,536.99,443.66,557.35,240.23,281.09,276.69
PROJ_0146,98.06,101.92,159.5,153.41,141.76,161.26,161.2,129.79,116.94,133.43,102.84,106.13,209.41,221.54,178.13,125.25,130.06,118.53
PROJ_0147,170.62,225.99,170.46,169.1,157.5,195.41,187.73,190.5,144.53,112.35,264.6,188.47,257.35,231.77,265.0,287.31,360.36,301.94
PROJ_0148,429.06,365.67,437.81,521.22,549.91,586.55,706.38,645.53,519.57,398.06,483.73,443.24,1415.57,1618.33,1438.46,942.7,886.41,691.83
PROJ_0149,620.65,571.19,1118.48,1075.58,806.3,899.49,872.38,1050.95,637.88,834.97,635.74,706.36,1310.43,1448.0,1217.13,994.84,750.12,725.06
PROJ_0150,636.38,809.88,1458.57,1810.86,1902.12,1746.72,1390.51,1308.97,1130.76,1017.02,830.94,725.48,3534.42,3049.76,3704.98,1261.48,1546.31,1195.48
PROJ_0151,83.92,75.7,98.44,90.88,105.33,89.04,91.75,118.82,78.3,65.47,76.9,67.85,279.76,191.08,256.84,156.4,116.59,122.49
PROJ_0152,148.78,178.97,211.08,220.92,231.55,258.83,226.63,229.6,180.91,150.65,189.99,134.5,456.72,582.44,486.77,268.3,272.91,315.84
PROJ_0153,96.77,70.4,207.11,251.45,301.53,255.7,332.02,324.0,186.3,229.86,91.32,85.4,247.14,287.18,284.89,93.74,101.94,84.27
PROJ_0154,430.02,438.53,813.16,750.83,884.18,962.83,771.52,910.01,492.04,577.35,400.7,326.28,887.52,660.68,891.56,339.55,458.72,399.05
PROJ_0155,403.53,399.84,401.7,501.4,543.93,511.73,520.65,551.41,392.32,416.33,478.54,525.4,580.28,455.02,389.56,411.52,494.36,453.85
PROJ_0156,211.68,189.18,362.93,402.92,325.24,446.65,317.28,414.96,338.08,321.16,219.16,184.09,1016.73,918.3,942.67,296.48,317.02,367.34
PROJ_0157,404.18,538.2,929.27,955.54,687.7,1058.06,744.18,890.46,743.46,541.92,429.24,430.67,1232.53,1379.93,1044.14,625.66,756.39,657.96
PROJ_0158,432.47,467.22,1095.35,1139.36,997.76,1233.76,950.87,900.97,841.41,650.06,496.35,461.87,1753.61,1374.45,1476.78,651.43,532.88,603.94
PROJ_0159,46.81,52.43,115.94,89.47,104.56,100.24,83.12,94.17,64.32,59.67,44.21,38.12,91.19,76.37,95.87,38.64,50.97,35.66
PROJ_0160,204.58,188.21,451.25,501.24,576.36,650.34,513.81,480.57,441.32,418.9,193.43,242.57,766.26,807.16,717.71,296.79,265.3,335.41
PROJ_0161,524.15,675.13,1087.87,1067.88,785.15,810.14,879.72,925.05,756.66,615.76,745.21,560.76,1920.74,1662.35,2221.42,1045.22,1096.91,1348.76
PROJ_0162,290.48,230.8,305.94,383.63,352.2,366.47,439.29,374.56,316.87,290.84,267.31,261.36,854.48,775.4,881.7,665.13,648.95,543.66
PROJ_0163,391.94,390.65,1076.05,850.68,873.55,963.16,853.98,968.56,875.81,886.18,347.75,405.19,1358.8,1420.43,1457.72,461.1,648.71,678.71
PROJ_0164,612.94,614.56,778.62,718.96,661.89,875.48,692.83,956.94,596.51,595.0,573.41,731.65,1674.69,1656.51,1667.46,1228.24,1382.26,1032.79
PROJ_0165,395.75,310.35,240.43,185.28,226.61,265.14,253.33,223.51,205.46,215.75,357.27,382.95,633.42,508.82,650.23,621.13,756.14,575.34
PROJ_0166,425.64,471.25,939.27,1060.36,1114.56,862.27,929.45,964.73,737.73,742.19,531.25,515.32,751.01,913.27,973.92,457.63,396.3,445.93
PROJ_0167,391.27,354.94,1117.96,941.56,1050.09,1122.42,1283.79,946.76,686.04,746.41,427.31,403.99,1681.12,1366.02,1268.38,587.42,674.93,693.71
