id_proyek,tipe_proyek,luas,lantai,spek,lokasi,tahun
PROJ_0050,rumah_tinggal,433,1,premium,luar_jawa,2023
PROJ_0051,rumah_tinggal,172,2,premium,jawa_tengah,2022
PROJ_0052,ruko,94,2,premium,luar_jawa,2022
PROJ_0053,ruko,399,3,menengah,luar_jawa,2022
PROJ_0054,ruko,225,2,premium,jawa_tengah,2021
PROJ_0055,kantor,413,1,menengah,jawa_timur,2020
PROJ_0056,gedung_sekolah,191,1,premium,luar_jawa,2020
PROJ_0057,rumah_tinggal,77,3,standar,jawa_tengah,2022
PROJ_0058,rumah_tinggal,359,2,menengah,jawa_barat,2022
PROJ_0059,ruko,110,3,premium,jawa_tengah,2022
PROJ_0060,rumah_tinggal,471,1,standar,jawa_barat,2021
PROJ_0061,ruko,359,2,standar,jawa_barat,2021
PROJ_0062,kantor,113,2,standar,jawa_tengah,2020
PROJ_0063,kantor,175,3,premium,luar_jawa,2022
PROJ_0064,ruko,317,2,premium,jawa_tengah,2023
PROJ_0065,gedung_sekolah,76,2,standar,luar_jawa,2020
PROJ_0066,gedung_sekolah,193,3,standar,jawa_barat,2021
PROJ_0067,rumah_tinggal,457,2,premium,luar_jawa,2022
PROJ_0068,kantor,248,1,menengah,luar_jawa,2023
PROJ_0069,gedung_sekolah,485,1,premium,jawa_barat,2023
PROJ_0070,rumah_tinggal,157,3,standar,luar_jawa,2023
PROJ_0071,kantor,244,3,standar,jawa_tengah,2021
PROJ_0072,ruko,72,1,standar,luar_jawa,2021
PROJ_0073,ruko,454,1,menengah,jawa_tengah,2021
PROJ_0074,kantor,362,1,menengah,jawa_tengah,2022
PROJ_0075,rumah_tinggal,177,3,menengah,jawa_barat,2022
PROJ_0076,rumah_tinggal,289,1,premium,jawa_barat,2021
PROJ_0077,rumah_tinggal,433,1,standar,jawa_tengah,2023
PROJ_0078,gedung_sekolah,264,3,menengah,luar_jawa,2022
PROJ_0079,ruko,236,1,menengah,jawa_barat,2022
PROJ_0080,ruko,101,2,menengah,jawa_barat,2020
PROJ_0081,gedung_sekolah,337,2,menengah,luar_jawa,2020
PROJ_0082,kantor,387,2,menengah,luar_jawa,2023
PROJ_0083,ruko,55,1,standar,jawa_timur,2021
PROJ_0084,ruko,123,1,standar,jawa_barat,2022
PROJ_0085,kantor,103,3,standar,jawa_barat,2020
PROJ_0086,gedung_sekolah,117,2,premium,jawa_tengah,2023
PROJ_0087,rumah_tinggal,115,1,premium,jawa_barat,2023
PROJ_0088,ruko,495,2,standar,jawa_barat,2021
PROJ_0089,ruko,196,2,menengah,jawa_barat,2022
PROJ_0090,ruko,172,1,premium,jawa_barat,2020
PROJ_0091,rumah_tinggal,480,2,menengah,jawa_timur,2021
PROJ_0092,kantor,252,3,standar,jawa_timur,2020
PROJ_0093,ruko,74,1,menengah,luar_jawa,2021
PROJ_0094,ruko,347,2,premium,jawa_timur,2021
PROJ_0095,gedung_sekolah,471,1,menengah,jawa_barat,2022
PROJ_0096,rumah_tinggal,287,2,menengah,jawa_barat,2023
PROJ_0097,rumah_tinggal,159,3,premium,jawa_tengah,2021
PROJ_0098,kantor,288,2,standar,jawa_timur,2023
PROJ_0099,rumah_tinggal,239,1,standar,jawa_timur,2020
PROJ_0100,kantor,204,3,standar,luar_jawa,2020
PROJ_0101,kantor,451,2,premium,jawa_barat,2020
PROJ_0102,kantor,176,2,premium,jawa_barat,2021
PROJ_0103,ruko,86,2,menengah,jawa_barat,2022
PROJ_0104,rumah_tinggal,91,1,premium,jawa_tengah,2020
PROJ_0105,kantor,341,3,menengah,jawa_tengah,2022
PROJ_0106,kantor,471,3,standar,jawa_timur,2021
PROJ_0107,gedung_sekolah,85,2,menengah,jawa_barat,2023
PROJ_0108,rumah_tinggal,488,1,premium,luar_jawa,2020
PROJ_0109,kantor,53,1,standar,jawa_barat,2022
PROJ_0110,kantor,289,2,standar,jawa_timur,2021
PROJ_0111,ruko,421,2,premium,luar_jawa,2023
PROJ_0112,gedung_sekolah,482,1,premium,jawa_barat,2020
PROJ_0113,rumah_tinggal,478,2,standar,jawa_tengah,2021
PROJ_0114,rumah_tinggal,324,2,menengah,jawa_tengah,2023
PROJ_0115,gedung_sekolah,154,3,standar,jawa_barat,2023
PROJ_0116,kantor,119,1,menengah,jawa_barat,2022
PROJ_0117,kantor,56,1,standar,jawa_tengah,2021
PROJ_0118,rumah_tinggal,485,3,menengah,luar_jawa,2020
PROJ_0119,ruko,449,1,standar,jawa_tengah,2022
PROJ_0120,ruko,428,3,menengah,jawa_barat,2020
PROJ_0121,ruko,450,1,premium,jawa_timur,2022
PROJ_0122,gedung_sekolah,253,1,premium,jawa_tengah,2020
PROJ_0123,kantor,394,2,standar,jawa_barat,2022
PROJ_0124,gedung_sekolah,226,2,standar,luar_jawa,2023
PROJ_0125,ruko,79,3,standar,luar_jawa,2022
PROJ_0126,kantor,212,1,menengah,jawa_tengah,2020
PROJ_0127,ruko,470,3,standar,jawa_tengah,2020
PROJ_0128,gedung_sekolah,50,1,menengah,jawa_timur,2020
PROJ_0129,rumah_tinggal,421,3,menengah,jawa_timur,2020
PROJ_0130,gedung_sekolah,382,1,premium,jawa_timur,2021
PROJ_0131,rumah_tinggal,314,3,standar,jawa_timur,2023
PROJ_0132,ruko,56,1,premium,jawa_timur,2021
PROJ_0133,rumah_tinggal,179,3,standar,luar_jawa,2023
PROJ_0134,kantor,184,3,premium,jawa_timur,2021
PROJ_0135,gedung_sekolah,268,2,premium,jawa_barat,2020
PROJ_0136,gedung_sekolah,469,1,premium,jawa_tengah,2020
PROJ_0137,kantor,142,1,standar,luar_jawa,2020
PROJ_0138,rumah_tinggal,44,3,premium,jawa_tengah,2023
PROJ_0139,kantor,92,1,menengah,jawa_barat,2022
PROJ_0140,kantor,466,3,premium,jawa_timur,2023
PROJ_0141,rumah_tinggal,305,2,premium,jawa_timur,2020
PROJ_0142,kantor,437,3,premium,luar_jawa,2020
PROJ_0143,kantor,367,1,menengah,jawa_timur,2022
PROJ_0144,ruko,419,1,standar,luar_jawa,2021
PROJ_0145,gedung_sekolah,93,2,premium,jawa_tengah,2023
PROJ_0146,kantor,73,2,menengah,jawa_barat,2023
PROJ_0147,kantor,175,1,menengah,jawa_tengah,2021
PROJ_0148,gedung_sekolah,271,2,premium,jawa_timur,2021
PROJ_0149,gedung_sekolah,479,2,menengah,luar_jawa,2021
PROJ_0150,ruko,481,3,premium,luar_jawa,2021
PROJ_0151,ruko,47,2,premium,jawa_barat,2022
PROJ_0152,kantor,104,2,premium,jawa_timur,2023
PROJ_0153,rumah_tinggal,85,3,standar,jawa_timur,2020
PROJ_0154,ruko,383,2,standar,jawa_tengah,2020
PROJ_0155,rumah_tinggal,484,1,standar,jawa_tengah,2022
PROJ_0156,gedung_sekolah,120,3,premium,jawa_barat,2022
PROJ_0157,gedung_sekolah,409,2,menengah,jawa_tengah,2021
PROJ_0158,gedung_sekolah,330,3,menengah,luar_jawa,2023
PROJ_0159,ruko,44,2,standar,jawa_barat,2020
PROJ_0160,rumah_tinggal,169,3,menengah,jawa_tengah,2021
PROJ_0161,ruko,405,2,premium,luar_jawa,2020
PROJ_0162,rumah_tinggal,191,2,premium,jawa_tengah,2023
PROJ_0163,rumah_tinggal,317,3,menengah,jawa_tengah,2023
PROJ_0164,gedung_sekolah,385,2,premium,jawa_timur,2021
PROJ_0165,gedung_sekolah,227,1,premium,luar_jawa,2021
PROJ_0166,gedung_sekolah,465,2,standar,luar_jawa,2020
PROJ_0167,gedung_sekolah,338,3,menengah,jawa_tengah,2023
PROJ_0168,kantor,163,2,premium,luar_jawa,2022
PROJ_0169,ruko,150,1,menengah,luar_jawa,2020
PROJ_0170,rumah_tinggal,497,3,premium,jawa_timur,2023
PROJ_0171,ruko,414,3,menengah,jawa_timur,2020
PROJ_0172,kantor,445,1,premium,jawa_barat,2021
PROJ_0173,ruko,311,2,standar,jawa_tengah,2020
PROJ_0174,gedung_sekolah,125,3,premium,jawa_tengah,2021
PROJ_0175,ruko,179,3,standar,luar_jawa,2020
PROJ_0176,gedung_sekolah,460,3,menengah,luar_jawa,2022
PROJ_0177,gedung_sekolah,112,1,standar,jawa_tengah,2021
PROJ_0178,gedung_sekolah,303,1,menengah,jawa_barat,2021
PROJ_0179,gedung_sekolah,89,2,menengah,jawa_barat,2020
PROJ_0180,kantor,364,1,menengah,luar_jawa,2020
PROJ_0181,gedung_sekolah,117,3,premium,jawa_tengah,2020
PROJ_0182,gedung_sekolah,235,2,standar,jawa_timur,2022
PROJ_0183,gedung_sekolah,351,3,menengah,jawa_barat,2021
PROJ_0184,gedung_sekolah,420,1,menengah,luar_jawa,2023
PROJ_0185,ruko,270,3,menengah,jawa_tengah,2023
PROJ_0186,rumah_tinggal,403,3,menengah,jawa_barat,2022
PROJ_0187,rumah_tinggal,56,2,premium,luar_jawa,2020
PROJ_0188,ruko,448,1,menengah,jawa_tengah,2020
PROJ_0189,rumah_tinggal,151,2,menengah,luar_jawa,2022
PROJ_0190,kantor,476,2,standar,luar_jawa,2021
PROJ_0191,kantor,58,1,menengah,luar_jawa,2021
PROJ_0192,kantor,465,2,menengah,jawa_timur,2023
PROJ_0193,rumah_tinggal,83,1,menengah,jawa_barat,2023
PROJ_0194,rumah_tinggal,85,1,menengah,jawa_tengah,2021
PROJ_0195,rumah_tinggal,465,3,premium,jawa_barat,2020
PROJ_0196,rumah_tinggal,424,3,standar,jawa_tengah,2023
PROJ_0197,rumah_tinggal,454,1,premium,jawa_tengah,2023
PROJ_0198,ruko,184,3,standar,luar_jawa,2022
PROJ_0199,rumah_tinggal,397,2,premium,jawa_tengah,2022
PROJ_0200,gedung_sekolah,321,3,premium,jawa_timur,2022
PROJ_0201,kantor,98,3,standar,jawa_barat,2022
PROJ_0202,ruko,185,2,menengah,jawa_barat,2023
PROJ_0203,rumah_tinggal,433,3,menengah,luar_jawa,2021
PROJ_0204,gedung_sekolah,399,2,premium,jawa_tengah,2022
PROJ_0205,rumah_tinggal,332,1,premium,jawa_tengah,2021
PROJ_0206,rumah_tinggal,64,1,premium,jawa_timur,2021
PROJ_0207,rumah_tinggal,257,1,premium,jawa_barat,2021
PROJ_0208,kantor,316,1,premium,luar_jawa,2021
PROJ_0209,kantor,206,2,standar,jawa_timur,2021
PROJ_0210,rumah_tinggal,377,1,menengah,luar_jawa,2021
PROJ_0211,rumah_tinggal,212,1,menengah,jawa_timur,2022
PROJ_0212,gedung_sekolah,145,1,premium,jawa_tengah,2023
PROJ_0213,gedung_sekolah,476,3,standar,jawa_timur,2023
PROJ_0214,gedung_sekolah,432,2,menengah,luar_jawa,2023
PROJ_0215,kantor,188,2,menengah,jawa_tengah,2022
PROJ_0216,rumah_tinggal,481,3,menengah,luar_jawa,2021
PROJ_0217,ruko,338,1,menengah,luar_jawa,2023
PROJ_0218,kantor,292,2,standar,luar_jawa,2023
PROJ_0219,kantor,329,1,standar,luar_jawa,2021
PROJ_0220,ruko,117,3,menengah,jawa_timur,2020
PROJ_0221,kantor,129,2,menengah,jawa_timur,2022
PROJ_0222,rumah_tinggal,269,3,premium,jawa_tengah,2023
PROJ_0223,rumah_tinggal,97,3,standar,luar_jawa,2022
PROJ_0224,gedung_sekolah,331,1,premium,jawa_tengah,2022
PROJ_0225,gedung_sekolah,372,2,premium,luar_jawa,2020
PROJ_0226,gedung_sekolah,278,3,standar,jawa_barat,2022
PROJ_0227,kantor,99,3,standar,luar_jawa,2023
PROJ_0228,ruko,114,3,menengah,jawa_timur,2021
PROJ_0229,gedung_sekolah,311,2,premium,jawa_timur,2023
PROJ_0230,gedung_sekolah,498,3,premium,jawa_timur,2023
PROJ_0231,kantor,474,1,premium,luar_jawa,2021
PROJ_0232,kantor,370,2,menengah,jawa_timur,2020
PROJ_0233,ruko,80,2,standar,jawa_tengah,2022
PROJ_0234,kantor,113,1,standar,jawa_tengah,2020
PROJ_0235,ruko,298,1,standar,luar_jawa,2022
PROJ_0236,kantor,256,2,premium,jawa_timur,2022
PROJ_0237,rumah_tinggal,278,3,standar,jawa_timur,2023
PROJ_0238,ruko,462,3,menengah,jawa_tengah,2022
PROJ_0239,kantor,264,1,standar,jawa_tengah,2022
PROJ_0240,kantor,100,3,standar,jawa_barat,2023
PROJ_0241,kantor,91,3,premium,jawa_tengah,2020
PROJ_0242,gedung_sekolah,370,1,standar,jawa_barat,2021
PROJ_0243,kantor,341,3,menengah,luar_jawa,2021
PROJ_0244,gedung_sekolah,463,3,menengah,jawa_tengah,2020
PROJ_0245,rumah_tinggal,347,3,menengah,luar_jawa,2021
PROJ_0246,rumah_tinggal,378,3,standar,luar_jawa,2023
PROJ_0247,gedung_sekolah,389,2,standar,jawa_barat,2021
PROJ_0248,ruko,404,2,standar,jawa_timur,2022
PROJ_0249,rumah_tinggal,181,1,standar,jawa_barat,2020
PROJ_0250,gedung_sekolah,482,1,premium,jawa_tengah,2020
PROJ_0251,gedung_sekolah,470,2,menengah,luar_jawa,2021
PROJ_0252,kantor,378,2,premium,luar_jawa,2020
PROJ_0253,kantor,374,1,premium,jawa_barat,2022
PROJ_0254,rumah_tinggal,476,3,standar,jawa_tengah,2021
PROJ_0255,kantor,398,2,premium,jawa_barat,2021
PROJ_0256,ruko,100,2,standar,jawa_tengah,2022
PROJ_0257,rumah_tinggal,493,1,standar,jawa_barat,2022
PROJ_0258,gedung_sekolah,428,3,menengah,luar_jawa,2021
PROJ_0259,kantor,90,1,standar,jawa_tengah,2023
PROJ_0260,kantor,443,2,premium,jawa_timur,2020
PROJ_0261,gedung_sekolah,92,2,standar,jawa_tengah,2022
PROJ_0262,kantor,51,3,premium,jawa_tengah,2022
PROJ_0263,gedung_sekolah,41,1,standar,jawa_tengah,2021
PROJ_0264,ruko,371,3,menengah,jawa_tengah,2021
PROJ_0265,rumah_tinggal,173,3,standar,jawa_tengah,2021
PROJ_0266,kantor,182,2,premium,jawa_timur,2020
PROJ_0267,gedung_sekolah,176,2,standar,luar_jawa,2023
PROJ_0268,kantor,378,3,premium,luar_jawa,2022
PROJ_0269,kantor,87,2,premium,luar_jawa,2023
PROJ_0270,gedung_sekolah,56,3,standar,jawa_barat,2022
PROJ_0271,gedung_sekolah,167,3,premium,jawa_timur,2023
PROJ_0272,kantor,56,1,standar,jawa_barat,2022
PROJ_0273,ruko,499,1,premium,jawa_barat,2022
PROJ_0274,kantor,99,2,premium,jawa_barat,2022
PROJ_0275,ruko,77,3,menengah,luar_jawa,2023
PROJ_0276,kantor,436,1,standar,luar_jawa,2020
PROJ_0277,gedung_sekolah,147,2,standar,luar_jawa,2020
PROJ_0278,kantor,432,3,menengah,jawa_timur,2023
PROJ_0279,kantor,127,1,premium,jawa_barat,2023
PROJ_0280,ruko,170,2,menengah,luar_jawa,2023
PROJ_0281,gedung_sekolah,52,1,menengah,luar_jawa,2020
PROJ_0282,rumah_tinggal,108,1,menengah,jawa_barat,2023
PROJ_0283,kantor,317,3,menengah,jawa_timur,2023
PROJ_0284,rumah_tinggal,482,1,menengah,jawa_barat,2021
PROJ_0285,gedung_sekolah,430,1,menengah,jawa_barat,2020
PROJ_0286,ruko,346,3,premium,jawa_timur,2023
PROJ_0287,gedung_sekolah,466,1,premium,luar_jawa,2023
PROJ_0288,rumah_tinggal,428,3,standar,jawa_timur,2023
PROJ_0289,ruko,424,2,menengah,luar_jawa,2020
PROJ_0290,gedung_sekolah,247,1,standar,jawa_barat,2020
PROJ_0291,ruko,93,3,premium,jawa_tengah,2022
PROJ_0292,kantor,286,3,premium,jawa_barat,2022
PROJ_0293,gedung_sekolah,328,1,standar,jawa_tengah,2023
PROJ_0294,rumah_tinggal,244,1,menengah,jawa_barat,2023
PROJ_0295,ruko,376,1,menengah,jawa_timur,2020
PROJ_0296,kantor,43,1,menengah,luar_jawa,2020
PROJ_0297,gedung_sekolah,365,2,standar,luar_jawa,2023
PROJ_0298,ruko,383,2,menengah,jawa_tengah,2022
PROJ_0299,ruko,61,1,standar,jawa_timur,2022
PROJ_0300,gedung_sekolah,38,1,menengah,jawa_timur,2020
PROJ_0301,rumah_tinggal,446,2,menengah,jawa_timur,2022
PROJ_0302,gedung_sekolah,226,1,standar,luar_jawa,2021
PROJ_0303,gedung_sekolah,78,3,menengah,jawa_timur,2020
PROJ_0304,gedung_sekolah,210,3,menengah,jawa_timur,2022
PROJ_0305,ruko,248,2,premium,jawa_tengah,2023
PROJ_0306,gedung_sekolah,154,2,standar,luar_jawa,2023
PROJ_0307,rumah_tinggal,301,2,menengah,luar_jawa,2020
PROJ_0308,gedung_sekolah,151,3,menengah,jawa_tengah,2022
PROJ_0309,gedung_sekolah,175,2,standar,jawa_tengah,2022
PROJ_0310,kantor,285,3,standar,luar_jawa,2021
PROJ_0311,rumah_tinggal,337,2,premium,luar_jawa,2023
PROJ_0312,rumah_tinggal,109,1,premium,jawa_tengah,2021
PROJ_0313,gedung_sekolah,271,3,premium,jawa_tengah,2021
PROJ_0314,rumah_tinggal,459,2,menengah,jawa_timur,2020
PROJ_0315,kantor,91,3,premium,luar_jawa,2020
PROJ_0316,rumah_tinggal,475,1,menengah,luar_jawa,2020
PROJ_0317,kantor,177,2,premium,luar_jawa,2021
PROJ_0318,rumah_tinggal,400,2,premium,jawa_barat,2021
PROJ_0319,ruko,330,3,premium,jawa_timur,2021
PROJ_0320,ruko,107,2,premium,jawa_barat,2023
PROJ_0321,gedung_sekolah,136,3,standar,jawa_barat,2022
PROJ_0322,gedung_sekolah,315,1,standar,jawa_timur,2023
PROJ_0323,rumah_tinggal,52,1,standar,jawa_timur,2021
PROJ_0324,rumah_tinggal,257,2,menengah,jawa_timur,2020
PROJ_0325,kantor,140,1,menengah,jawa_tengah,2022
PROJ_0326,ruko,198,2,premium,luar_jawa,2022
PROJ_0327,ruko,361,2,standar,jawa_tengah,2022
PROJ_0328,rumah_tinggal,308,2,premium,luar_jawa,2022
PROJ_0329,ruko,182,1,menengah,jawa_tengah,2023
PROJ_0330,ruko,195,2,menengah,jawa_timur,2020
PROJ_0331,gedung_sekolah,236,2,menengah,jawa_barat,2022
PROJ_0332,gedung_sekolah,280,2,menengah,jawa_tengah,2023
PROJ_0333,rumah_tinggal,273,3,menengah,jawa_timur,2022
PROJ_0334,kantor,295,3,premium,luar_jawa,2020
PROJ_0335,kantor,463,3,menengah,jawa_timur,2022
PROJ_0336,ruko,376,2,menengah,luar_jawa,2021
PROJ_0337,rumah_tinggal,407,1,standar,luar_jawa,2021
PROJ_0338,kantor,276,3,premium,jawa_timur,2021
PROJ_0339,kantor,265,1,standar,luar_jawa,2020
PROJ_0340,kantor,61,1,standar,jawa_barat,2023
PROJ_0341,gedung_sekolah,426,3,menengah,jawa_tengah,2020
PROJ_0342,kantor,72,1,standar,jawa_tengah,2022
PROJ_0343,kantor,191,2,premium,jawa_tengah,2020
PROJ_0344,rumah_tinggal,375,1,premium,jawa_barat,2020
PROJ_0345,kantor,380,3,menengah,jawa_barat,2020
PROJ_0346,kantor,238,3,premium,jawa_tengah,2022
PROJ_0347,rumah_tinggal,433,2,menengah,jawa_timur,2021
PROJ_0348,gedung_sekolah,365,1,standar,jawa_tengah,2020
PROJ_0349,ruko,314,3,premium,jawa_timur,2020
PROJ_0350,kantor,271,2,standar,jawa_timur,2022
PROJ_0351,gedung_sekolah,480,1,menengah,jawa_timur,2023
PROJ_0352,rumah_tinggal,244,3,menengah,jawa_barat,2021
PROJ_0353,ruko,180,3,standar,luar_jawa,2022
PROJ_0354,kantor,102,3,standar,luar_jawa,2023
PROJ_0355,rumah_tinggal,215,3,menengah,jawa_barat,2022
PROJ_0356,gedung_sekolah,190,1,menengah,jawa_timur,2022
PROJ_0357,gedung_sekolah,133,3,premium,jawa_timur,2022
PROJ_0358,rumah_tinggal,252,1,premium,jawa_tengah,2022
PROJ_0359,gedung_sekolah,112,2,standar,jawa_timur,2023
PROJ_0360,ruko,463,3,premium,jawa_barat,2023
PROJ_0361,gedung_sekolah,293,1,premium,jawa_timur,2023
PROJ_0362,gedung_sekolah,407,3,standar,jawa_tengah,2022
PROJ_0363,rumah_tinggal,101,2,standar,jawa_timur,2021
PROJ_0364,gedung_sekolah,427,2,standar,jawa_barat,2021
PROJ_0365,ruko,73,3,premium,jawa_tengah,2023
PROJ_0366,gedung_sekolah,55,2,menengah,jawa_timur,2021
PROJ_0367,gedung_sekolah,253,3,premium,jawa_tengah,2020
PROJ_0368,gedung_sekolah,178,1,premium,jawa_barat,2020
PROJ_0369,gedung_sekolah,456,3,premium,luar_jawa,2020
PROJ_0370,kantor,329,1,standar,jawa_timur,2020
PROJ_0371,ruko,171,1,menengah,luar_jawa,2021
PROJ_0372,ruko,497,2,menengah,jawa_barat,2022
PROJ_0373,kantor,264,1,premium,jawa_timur,2020
PROJ_0374,rumah_tinggal,160,1,menengah,jawa_timur,2023
PROJ_0375,ruko,427,3,standar,luar_jawa,2022
PROJ_0376,rumah_tinggal,294,2,premium,jawa_tengah,2021
PROJ_0377,rumah_tinggal,346,3,standar,jawa_timur,2023
PROJ_0378,ruko,320,1,standar,jawa_tengah,2022
PROJ_0379,rumah_tinggal,206,3,premium,jawa_tengah,2022
PROJ_0380,ruko,444,2,standar,jawa_timur,2023
PROJ_0381,ruko,427,1,premium,jawa_barat,2021
PROJ_0382,kantor,282,3,standar,jawa_tengah,2022
PROJ_0383,kantor,431,2,standar,jawa_barat,2022
PROJ_0384,rumah_tinggal,235,3,standar,jawa_barat,2021
PROJ_0385,kantor,308,1,standar,jawa_timur,2023
PROJ_0386,rumah_tinggal,214,2,standar,jawa_timur,2022
PROJ_0387,rumah_tinggal,267,3,standar,luar_jawa,2022
PROJ_0388,rumah_tinggal,275,1,premium,jawa_barat,2020
PROJ_0389,gedung_sekolah,220,3,menengah,jawa_timur,2023
PROJ_0390,rumah_tinggal,327,2,menengah,jawa_tengah,2021
PROJ_0391,rumah_tinggal,118,1,premium,jawa_timur,2021
PROJ_0392,gedung_sekolah,182,1,premium,jawa_barat,2021
PROJ_0393,rumah_tinggal,47,2,menengah,luar_jawa,2023
PROJ_0394,gedung_sekolah,356,2,premium,jawa_barat,2021
PROJ_0395,gedung_sekolah,178,1,premium,luar_jawa,2022
PROJ_0396,rumah_tinggal,298,1,standar,jawa_timur,2021
PROJ_0397,ruko,165,1,standar,jawa_tengah,2022
PROJ_0398,kantor,279,2,premium,jawa_timur,2022
PROJ_0399,gedung_sekolah,491,3,premium,jawa_timur,2022
PROJ_0400,gedung_sekolah,443,2,premium,luar_jawa,2023
PROJ_0401,rumah_tinggal,389,2,premium,jawa_barat,2023
PROJ_0402,ruko,274,3,menengah,luar_jawa,2021
PROJ_0403,ruko,482,2,menengah,jawa_timur,2023
PROJ_0404,gedung_sekolah,249,3,menengah,luar_jawa,2020
PROJ_0405,rumah_tinggal,88,2,menengah,luar_jawa,2022
PROJ_0406,kantor,411,2,premium,jawa_timur,2022
PROJ_0407,kantor,292,3,standar,luar_jawa,2022
PROJ_0408,rumah_tinggal,229,3,standar,jawa_barat,2020
PROJ_0409,rumah_tinggal,492,1,menengah,jawa_barat,2021
PROJ_0410,kantor,417,3,standar,jawa_barat,2023
PROJ_0411,kantor,383,2,premium,jawa_barat,2021
PROJ_0412,gedung_sekolah,38,1,menengah,luar_jawa,2021
PROJ_0413,rumah_tinggal,54,2,menengah,jawa_timur,2023
PROJ_0414,kantor,482,2,standar,jawa_tengah,2023
PROJ_0415,ruko,493,3,premium,luar_jawa,2021
PROJ_0416,ruko,186,3,standar,jawa_timur,2020
PROJ_0417,kantor,226,1,standar,jawa_timur,2023
PROJ_0418,ruko,337,1,menengah,jawa_barat,2020
PROJ_0419,kantor,293,2,standar,jawa_tengah,2023
PROJ_0420,kantor,159,3,premium,jawa_timur,2021
PROJ_0421,kantor,417,1,menengah,jawa_barat,2020
PROJ_0422,ruko,61,2,standar,luar_jawa,2023
PROJ_0423,rumah_tinggal,58,2,standar,jawa_barat,2020
PROJ_0424,rumah_tinggal,468,3,premium,jawa_tengah,2023
PROJ_0425,gedung_sekolah,366,2,menengah,luar_jawa,2023
PROJ_0426,kantor,39,3,standar,jawa_timur,2022
PROJ_0427,kantor,379,2,premium,jawa_timur,2023
PROJ_0428,rumah_tinggal,213,1,standar,jawa_tengah,2023
PROJ_0429,ruko,144,1,premium,jawa_barat,2022
PROJ_0430,rumah_tinggal,144,3,menengah,luar_jawa,2021
PROJ_0431,gedung_sekolah,38,3,menengah,luar_jawa,2022
