Tipe_Proyek,Lokasi,Luas_Bangunan,Luas_Tanah,Jumlah_Lantai,Target_Vol_Pondasi,Target_Vol_Dinding,Target_Vol_Keramik,Target_Vol_Atap,Target_Vol_Beton
Masjid,Makassar,494,862,2,55.95,494.88,499.6,353.05,124.8
Sekolah,Jakarta,652,1225,2,77.44,950.72,568.98,434.61,108.52
Sekolah,Makassar,1218,1819,1,282.2,987.15,1104.11,1572.05,214.86
Rumah Tinggal,Makassar,131,247,2,15.0,614.1,133.86,90.29,24.28
Sekolah,Makassar,1045,1567,1,283.58,870.48,1050.29,1475.57,163.77
Rumah Tinggal,Surabaya,97,151,1,22.48,318.73,88.45,118.88,22.11
Gudang,Medan,313,617,1,125.49,202.05,292.97,394.04,71.85
Masjid,Makassar,610,1199,2,70.16,536.37,590.05,419.73,153.37
Rumah Tinggal,Jakarta,66,110,2,8.68,408.83,65.86,43.8,12.25
Rumah Tinggal,Medan,214,303,1,56.13,534.05,194.14,303.44,38.27
Gudang,Medan,985,1907,1,356.03,367.55,934.13,1349.81,176.59
Sekolah,Surabaya,1393,2615,3,107.06,1958.6,1297.99,638.67,255.49
Masjid,Surabaya,624,999,1,150.69,444.38,608.37,788.09,155.38
Rumah Tinggal,Medan,129,164,2,16.29,531.29,113.94,88.39,31.97
Rumah Tinggal,Surabaya,114,148,2,14.24,484.59,98.91,76.78,22.52
Gudang,Medan,1468,2702,1,538.8,422.85,1400.14,1843.44,306.83
Masjid,Medan,708,1143,2,87.75,583.35,727.55,523.33,164.89
Rumah Tinggal,Surabaya,89,151,1,20.3,332.54,86.1,111.57,13.99
Sekolah,Bandung,576,1046,2,73.59,875.32,499.17,405.06,133.96
Sekolah,Medan,545,1034,2,70.49,854.56,486.58,351.33,109.74
Rumah Tinggal,Surabaya,272,360,1,62.04,609.27,235.5,327.84,62.48
Rumah Tinggal,Jakarta,179,276,2,20.76,658.04,165.98,113.9,37.5
Rumah Tinggal,Medan,244,434,2,29.86,795.43,231.55,187.39,38.94
Gudang,Surabaya,546,713,1,196.51,286.88,472.77,678.22,98.42
Masjid,Bandung,189,233,2,21.89,299.58,172.88,120.31,40.62
Rumah Tinggal,Makassar,161,193,1,40.22,480.43,147.52,227.98,27.28
Masjid,Makassar,713,1251,1,179.86,423.75,678.46,851.79,122.13
Gudang,Bandung,1400,2668,1,514.97,382.08,1442.39,1686.87,230.18
Masjid,Medan,726,1068,2,95.05,635.22,622.68,541.36,125.11
Masjid,Medan,990,1530,2,113.06,806.42,1024.57,725.79,246.0
Rumah Tinggal,Medan,98,145,2,11.68,485.89,90.48,73.66,23.3
Rumah Tinggal,Medan,290,511,1,74.42,600.06,278.17,405.97,66.94
Rumah Tinggal,Makassar,41,69,2,4.83,298.73,37.94,31.08,7.62
Rumah Tinggal,Jakarta,226,303,1,57.54,575.19,196.92,291.18,32.29
Rumah Tinggal,Surabaya,83,161,1,21.06,307.5,83.15,116.75,14.43
Gudang,Surabaya,1386,2482,1,545.94,377.49,1187.18,1938.12,279.52
Sekolah,Medan,1161,1805,3,95.91,1516.3,1163.88,523.2,235.63
Sekolah,Medan,589,760,2,72.27,960.75,572.25,416.94,98.72
Gudang,Medan,1308,2220,1,457.17,437.83,1190.81,1713.05,318.67
Masjid,Jakarta,677,1144,1,175.24,409.87,624.11,882.09,120.03
Masjid,Bandung,966,1403,1,224.12,573.84,943.32,1236.36,226.03
Masjid,Medan,176,251,2,23.72,324.47,170.09,123.86,29.66
Masjid,Medan,821,1454,2,93.18,626.04,795.25,544.29,150.31
Sekolah,Bandung,212,300,2,25.53,616.63,202.35,152.3,31.69
Gudang,Jakarta,103,150,1,36.55,112.31,91.65,133.01,19.22
Masjid,Makassar,549,860,1,129.13,374.67,536.7,777.11,141.29
Gudang,Bandung,1502,2368,1,562.52,454.87,1395.24,2087.74,275.7
Masjid,Medan,520,1009,1,130.02,401.92,445.73,656.96,88.91
Sekolah,Jakarta,514,678,3,47.01,1057.57,484.38,261.38,102.48
Masjid,Makassar,846,1612,1,209.55,523.95,812.06,1119.8,122.5
Masjid,Surabaya,668,1322,1,176.15,461.58,657.95,930.02,133.17
Sekolah,Makassar,841,1328,3,67.54,1316.69,739.55,413.29,172.1
Rumah Tinggal,Medan,188,270,1,47.76,523.83,173.69,237.78,44.04
Rumah Tinggal,Jakarta,261,456,2,35.02,863.89,244.59,193.87,50.2
Gudang,Makassar,963,1806,1,368.63,340.61,825.29,1312.95,215.26
Rumah Tinggal,Makassar,115,201,2,13.69,518.67,110.55,81.55,24.52
Rumah Tinggal,Surabaya,163,264,2,21.26,615.9,158.24,120.44,28.8
Rumah Tinggal,Medan,188,330,2,21.27,696.1,193.7,120.87,42.53
Rumah Tinggal,Bandung,161,259,2,21.19,681.89,141.79,103.17,32.76
Rumah Tinggal,Jakarta,60,106,1,14.64,268.49,54.18,75.11,14.14
Gudang,Surabaya,1772,2966,1,667.25,446.47,1644.77,2157.98,345.41
Gudang,Medan,648,1282,1,244.28,296.34,646.44,838.74,128.77
Masjid,Bandung,504,639,1,130.09,370.77,501.66,693.32,92.61
Rumah Tinggal,Medan,172,208,2,21.71,653.11,152.04,118.4,31.77
Sekolah,Surabaya,1274,2370,1,323.65,944.18,1216.55,1504.86,223.77
Rumah Tinggal,Medan,150,231,1,35.98,412.42,142.14,199.53,28.05
Masjid,Bandung,645,1037,2,80.25,566.29,586.41,489.04,134.11
Gudang,Medan,500,839,1,186.66,268.49,454.53,671.91,108.5
Gudang,Makassar,1535,2427,1,544.18,421.15,1454.73,2072.07,257.21
Rumah Tinggal,Surabaya,80,147,1,18.12,325.67,80.41,100.31,12.46
Sekolah,Surabaya,264,379,3,21.0,859.76,258.53,126.41,57.15
Gudang,Surabaya,1049,1905,1,404.22,330.81,1048.42,1440.2,196.87
Rumah Tinggal,Bandung,256,407,2,33.32,765.22,263.13,174.67,49.71
Gudang,Surabaya,1818,3138,1,685.34,441.57,1761.29,2333.59,299.17
Gudang,Medan,1664,2590,1,644.81,479.11,1694.35,1979.96,346.52
Sekolah,Medan,589,989,1,153.07,680.06,545.57,697.14,118.6
Sekolah,Surabaya,312,454,1,77.88,478.85,291.25,414.92,60.3
Sekolah,Jakarta,294,485,3,23.25,754.28,269.87,142.02,72.71
Sekolah,Medan,524,829,1,143.72,638.73,463.4,643.88,123.04
Gudang,Bandung,742,1062,1,264.2,275.92,770.97,952.95,134.12
Masjid,Jakarta,416,623,1,94.4,369.2,417.55,540.47,78.84
Sekolah,Surabaya,1376,2152,3,116.49,1952.83,1240.21,702.96,259.45
Gudang,Bandung,1443,2218,1,586.86,396.45,1417.83,2051.86,331.72
Masjid,Bandung,305,546,1,78.52,295.39,269.03,426.8,66.37
Sekolah,Jakarta,1305,2225,3,106.28,1681.61,1242.49,641.35,206.12
Rumah Tinggal,Bandung,117,157,2,15.53,571.55,115.07,86.8,23.55
Sekolah,Bandung,535,683,1,146.74,623.75,507.0,691.19,87.58
Gudang,Medan,590,1158,1,213.94,264.26,569.37,823.64,113.81
Masjid,Bandung,445,719,2,54.49,467.24,453.34,288.0,92.17
Gudang,Medan,299,391,1,115.35,176.21,256.8,361.74,66.57
Gudang,Surabaya,1073,1638,1,388.28,333.24,954.14,1467.51,232.01
Masjid,Medan,494,825,1,116.17,342.52,493.22,651.71,96.07
Gudang,Medan,1765,2995,1,689.7,457.44,1521.94,2489.62,275.67
Masjid,Makassar,261,407,1,70.98,297.03,237.59,307.44,56.89
Rumah Tinggal,Makassar,252,440,1,66.87,514.78,241.89,344.24,54.83
Gudang,Bandung,543,877,1,219.07,235.14,507.59,722.27,95.0
Rumah Tinggal,Bandung,176,327,1,47.16,453.27,151.93,232.85,25.31
Masjid,Bandung,191,334,1,51.19,248.92,183.67,240.76,40.77
Sekolah,Surabaya,283,432,1,74.39,475.85,251.91,338.93,47.04
Rumah Tinggal,Surabaya,276,336,2,35.43,826.5,279.06,182.78,43.85
Gudang,Makassar,988,1409,1,398.35,347.85,880.11,1215.2,163.4
Gudang,Surabaya,1314,1715,1,530.3,383.91,1307.55,1869.08,336.06
Sekolah,Makassar,604,1097,2,77.24,891.64,566.48,456.57,139.63
Gudang,Medan,1335,2487,1,532.82,403.11,1335.3,1815.43,207.71
Gudang,Jakarta,115,163,1,40.09,122.93,115.08,163.64,27.15
Gudang,Makassar,1926,2376,1,658.69,520.12,1911.05,2695.88,435.97
Sekolah,Bandung,1186,1706,1,295.03,1020.18,1131.03,1537.79,300.09
Gudang,Surabaya,730,1008,1,269.52,325.83,741.15,999.45,113.17
Rumah Tinggal,Bandung,224,434,2,29.15,704.29,233.7,157.25,47.2
Sekolah,Surabaya,1257,1878,3,107.39,1719.52,1296.9,580.13,257.04
Rumah Tinggal,Jakarta,177,298,2,20.44,701.73,169.95,114.72,25.1
Rumah Tinggal,Makassar,217,274,1,57.88,468.88,211.01,270.2,39.06
Gudang,Surabaya,1530,2231,1,521.42,436.74,1338.96,2059.53,325.88
Masjid,Jakarta,223,437,1,56.57,230.22,198.26,305.72,55.72
Sekolah,Medan,414,746,1,102.73,585.45,360.09,484.45,90.13
Masjid,Surabaya,160,205,1,43.84,213.76,147.51,227.21,34.23
Gudang,Jakarta,344,550,1,129.81,201.44,295.73,411.82,53.95
Rumah Tinggal,Medan,129,245,2,17.14,591.35,112.97,90.13,27.45
Rumah Tinggal,Makassar,88,109,1,20.28,338.27,76.99,111.28,16.14
Masjid,Makassar,933,1407,2,116.07,671.42,847.53,653.79,206.56
Masjid,Jakarta,322,402,1,74.37,307.64,279.08,443.52,59.92
Sekolah,Jakarta,698,1212,3,53.46,1391.78,641.84,322.39,125.49
Rumah Tinggal,Makassar,241,316,1,60.37,588.09,238.2,338.11,48.83
Sekolah,Jakarta,323,548,3,25.5,788.61,317.06,147.99,52.26
Rumah Tinggal,Medan,88,139,1,22.01,347.46,87.5,117.26,17.32
Masjid,Medan,841,1072,2,105.12,622.51,793.59,580.67,217.08
Masjid,Surabaya,494,807,2,63.72,487.68,490.2,358.37,76.53
Gudang,Bandung,1915,3081,1,705.91,534.87,1795.75,2703.76,502.7
Rumah Tinggal,Makassar,196,312,1,47.11,466.99,202.61,234.48,39.02
Rumah Tinggal,Surabaya,265,392,1,62.9,531.64,236.91,358.98,65.53
Gudang,Bandung,1600,2134,1,575.84,465.77,1540.68,2057.2,250.42
Masjid,Medan,467,868,2,56.27,484.93,405.8,335.4,110.27
Gudang,Bandung,750,1263,1,276.78,333.74,773.72,1014.56,162.71
Rumah Tinggal,Surabaya,184,240,2,22.41,689.67,158.96,116.85,38.35
Rumah Tinggal,Surabaya,107,176,2,13.18,491.34,102.69,76.75,19.55
Masjid,Jakarta,952,1851,2,120.56,787.84,901.2,728.8,176.94
Sekolah,Bandung,1136,1922,2,141.95,1367.21,1008.88,852.83,226.74
Sekolah,Jakarta,872,1645,2,98.86,1184.34,759.08,608.8,137.13
Gudang,Medan,1468,2266,1,559.65,387.41,1421.12,1997.96,237.46
Masjid,Medan,463,843,1,110.15,392.87,403.73,660.01,92.59
Masjid,Medan,639,1114,2,76.93,599.96,658.41,467.81,136.8
Sekolah,Bandung,563,1099,1,145.27,717.03,490.3,754.57,137.74
Masjid,Jakarta,776,1048,2,106.2,609.42,706.98,573.83,159.26
Sekolah,Bandung,430,753,2,54.85,761.0,425.16,317.37,95.84
Masjid,Surabaya,873,1226,1,231.93,458.72,811.06,1094.97,175.68
Gudang,Surabaya,1248,1770,1,447.81,392.93,1220.62,1687.81,219.87
Sekolah,Surabaya,1176,1443,1,299.34,976.43,1168.13,1483.96,172.83
Rumah Tinggal,Makassar,146,256,1,37.28,451.88,148.68,206.7,35.47
Gudang,Surabaya,1046,1438,1,364.72,350.88,975.85,1235.74,194.37
Gudang,Makassar,811,1069,1,324.89,290.22,839.29,1037.53,160.12
Rumah Tinggal,Makassar,113,170,2,13.33,537.39,110.94,81.75,18.09
Masjid,Makassar,148,195,1,35.89,219.07,143.96,174.52,22.45
Gudang,Medan,1083,1917,1,370.08,402.51,1107.45,1361.71,227.3
Rumah Tinggal,Medan,173,254,2,23.49,687.61,176.23,114.94,29.04
Sekolah,Bandung,467,728,1,118.88,549.14,418.8,593.36,105.74
Rumah Tinggal,Bandung,39,55,2,5.27,315.38,34.18,28.28,8.52
Rumah Tinggal,Medan,83,157,1,19.19,326.89,83.76,98.41,14.58
Rumah Tinggal,Jakarta,122,153,2,16.48,545.3,108.92,79.24,20.13
Sekolah,Surabaya,1378,2189,2,186.51,1447.9,1240.97,1054.2,204.72
Sekolah,Medan,1289,2176,3,116.89,1597.58,1195.69,621.68,219.03
Gudang,Jakarta,874,1397,1,314.53,340.67,864.64,1218.45,157.18
Sekolah,Bandung,436,555,3,33.81,1086.12,393.32,209.6,102.13
Masjid,Jakarta,546,682,1,141.92,371.86,470.18,741.13,126.68
Masjid,Bandung,224,298,1,59.9,259.48,202.53,281.16,42.51
Gudang,Surabaya,619,1171,1,219.54,279.48,603.52,871.56,113.04
Gudang,Makassar,1438,2870,1,551.8,391.6,1243.65,1833.34,240.92
Gudang,Makassar,1147,1683,1,462.53,403.34,1178.11,1463.16,203.44
Rumah Tinggal,Surabaya,138,242,2,15.93,588.66,121.05,93.3,25.79
Rumah Tinggal,Jakarta,41,72,1,9.83,201.71,39.46,56.95,8.14
Rumah Tinggal,Surabaya,43,55,1,10.39,206.95,43.26,52.12,9.04
Rumah Tinggal,Medan,55,91,2,7.05,369.7,48.78,35.83,13.44
Masjid,Surabaya,217,364,2,26.81,334.59,224.27,163.46,45.27
Gudang,Bandung,1112,1908,1,404.54,380.25,1012.84,1372.31,202.16
Gudang,Bandung,807,997,1,303.23,334.11,842.86,1137.09,142.32
Rumah Tinggal,Medan,280,380,2,32.43,841.06,240.39,177.85,65.85
Gudang,Bandung,1108,1812,1,413.18,383.25,1104.11,1556.43,178.84
Masjid,Jakarta,613,875,1,138.63,415.57,530.58,870.78,166.25
Gudang,Bandung,1088,2017,1,392.6,391.4,1086.97,1402.27,277.62
Masjid,Medan,705,1139,1,170.25,479.93,615.65,938.08,159.22
Sekolah,Medan,363,648,2,43.88,720.5,331.97,267.92,71.19
Gudang,Surabaya,1573,2798,1,539.5,423.8,1399.87,1929.56,330.42
Gudang,Surabaya,1520,2344,1,604.8,478.92,1410.37,1815.81,268.59
Gudang,Bandung,1415,1718,1,512.98,397.8,1412.33,2005.65,336.02
Rumah Tinggal,Makassar,221,349,1,50.12,528.76,225.59,296.84,42.73
Masjid,Surabaya,305,602,2,41.69,396.39,283.96,208.06,63.45
Rumah Tinggal,Medan,236,316,2,27.34,778.38,227.83,168.86,54.24
Masjid,Surabaya,555,692,1,138.89,428.87,482.91,789.38,84.54
Sekolah,Surabaya,1405,2379,1,359.62,951.99,1365.16,2007.61,237.09
Sekolah,Medan,868,1445,3,70.55,1300.9,894.08,414.72,166.75
Masjid,Jakarta,594,1091,1,135.7,385.68,605.99,821.83,114.71
Rumah Tinggal,Surabaya,187,364,1,45.55,447.71,191.81,236.15,43.13
Masjid,Makassar,455,715,1,122.1,333.84,463.6,630.76,80.59
Rumah Tinggal,Medan,161,321,1,40.46,433.64,147.16,212.86,23.91
Gudang,Surabaya,1979,3917,1,677.61,540.38,1847.48,2458.65,292.45
Gudang,Jakarta,226,287,1,84.98,161.51,203.71,274.18,39.24
Masjid,Bandung,988,1448,1,257.47,579.94,930.6,1329.62,144.75
Masjid,Surabaya,146,231,1,38.16,193.3,127.35,189.97,26.53
Sekolah,Medan,636,1114,1,156.14,752.43,639.39,896.1,162.36
Masjid,Jakarta,541,869,1,141.42,393.8,536.98,732.34,117.61
Gudang,Makassar,1871,3135,1,719.29,464.44,1927.35,2325.51,328.53
Masjid,Jakarta,418,598,1,103.3,309.36,414.41,537.67,77.04
Masjid,Surabaya,187,311,1,43.26,212.48,171.37,264.28,48.58
Sekolah,Medan,394,632,2,50.52,754.73,371.66,256.54,63.55
Rumah Tinggal,Makassar,245,297,1,55.4,565.62,241.07,329.61,56.03
Sekolah,Jakarta,749,1035,3,66.95,1339.74,706.98,333.87,153.26
Sekolah,Medan,701,1011,2,88.52,1003.9,662.27,512.14,144.56
Gudang,Jakarta,317,412,1,117.78,212.48,286.73,445.66,51.49
Rumah Tinggal,Medan,74,147,1,17.79,295.52,76.87,94.21,12.73
Sekolah,Surabaya,1002,1930,3,87.99,1430.41,860.7,500.15,178.05
Gudang,Makassar,127,169,1,44.96,133.91,112.39,181.58,28.98
Masjid,Bandung,266,377,1,63.16,278.55,257.38,348.32,43.95
Rumah Tinggal,Surabaya,254,315,2,30.62,740.61,260.44,161.19,39.99
Rumah Tinggal,Bandung,37,67,2,4.88,330.43,34.14,27.78,8.15
Gudang,Bandung,1131,1674,1,454.85,409.33,1092.71,1545.83,173.15
Rumah Tinggal,Jakarta,163,287,1,39.35,458.67,169.31,219.23,41.76
Rumah Tinggal,Bandung,166,225,2,20.82,594.28,147.45,114.24,24.49
Gudang,Makassar,319,530,1,113.21,209.05,309.06,391.89,57.41
Rumah Tinggal,Jakarta,180,320,1,46.62,435.6,166.26,211.35,40.06
Rumah Tinggal,Bandung,72,108,1,18.39,277.76,62.67,94.43,13.94
Gudang,Bandung,1061,1497,1,433.93,400.09,1052.9,1441.26,210.05
Sekolah,Surabaya,1353,1798,2,183.7,1502.73,1283.48,1026.42,305.65
Gudang,Jakarta,231,277,1,81.58,177.76,209.49,306.43,43.87
Gudang,Makassar,102,179,1,38.98,106.66,103.12,134.07,16.37
Sekolah,Medan,1304,1999,2,178.13,1357.51,1319.56,888.59,227.5
Sekolah,Bandung,387,504,1,94.79,586.25,374.56,534.89,99.72
Sekolah,Bandung,300,529,2,39.39,663.76,300.71,224.38,51.56
Rumah Tinggal,Surabaya,283,431,1,70.78,597.94,285.13,361.67,57.01
Rumah Tinggal,Bandung,193,269,1,51.83,449.18,201.65,273.08,37.32
Sekolah,Medan,587,1041,1,139.97,636.7,543.01,810.5,104.53
Sekolah,Medan,223,398,1,60.56,440.94,211.86,268.25,37.6
Rumah Tinggal,Jakarta,143,173,2,18.27,631.12,132.06,102.83,37.76
Rumah Tinggal,Medan,287,514,2,34.15,824.79,273.41,199.26,45.44
Masjid,Makassar,644,818,2,84.81,587.2,621.11,429.32,166.37
Gudang,Jakarta,1632,2964,1,623.46,464.87,1448.6,2110.03,331.48
Masjid,Surabaya,898,1432,1,238.49,531.72,796.61,1194.38,166.66
Rumah Tinggal,Medan,97,148,1,26.61,348.19,94.2,138.03,20.12
Rumah Tinggal,Bandung,272,371,2,31.76,825.49,252.32,195.12,64.66
Masjid,Bandung,406,796,1,108.64,331.52,393.99,479.83,87.01
Rumah Tinggal,Bandung,160,259,2,21.86,563.54,158.79,121.66,31.24
Rumah Tinggal,Jakarta,150,247,1,39.38,456.84,155.76,208.56,37.18
Gudang,Medan,1633,2053,1,636.71,407.85,1644.39,2143.89,370.3
Rumah Tinggal,Bandung,83,163,2,9.65,465.49,79.01,56.67,14.72
Masjid,Surabaya,604,1106,1,154.45,386.99,569.53,725.13,106.26
Masjid,Medan,468,910,1,108.55,360.57,408.29,563.79,107.4
Gudang,Bandung,649,822,1,227.46,291.19,590.89,832.48,147.42
Gudang,Jakarta,1711,2418,1,641.64,459.84,1649.95,2255.27,273.33
Rumah Tinggal,Bandung,282,554,1,70.58,601.17,279.27,354.64,53.19
Gudang,Surabaya,1764,2211,1,603.06,514.94,1596.67,2375.01,348.72
Sekolah,Jakarta,731,1301,3,63.5,1187.06,663.59,364.73,161.08
Gudang,Bandung,1739,2804,1,706.49,439.07,1748.71,2242.12,361.74
Masjid,Medan,976,1844,1,260.53,508.81,851.12,1203.69,140.31
Sekolah,Medan,231,319,1,55.41,423.01,224.61,298.55,54.73
Sekolah,Makassar,1142,1690,3,94.32,1482.55,1003.29,500.21,228.9
Sekolah,Makassar,733,941,2,93.46,1053.62,687.68,507.01,142.31
Sekolah,Surabaya,939,1303,2,125.4,1326.54,962.04,698.19,206.59
Masjid,Medan,870,1574,2,103.84,759.19,863.74,574.29,200.96
Gudang,Surabaya,1750,2280,1,650.58,487.92,1673.13,2328.12,368.75
Sekolah,Makassar,200,248,1,45.77,430.17,196.76,239.32,39.15
Gudang,Makassar,731,1367,1,256.16,327.83,713.21,891.09,140.19
Masjid,Surabaya,514,875,1,134.16,396.43,505.21,666.64,105.68
Sekolah,Surabaya,730,1125,3,58.1,1194.89,628.79,337.63,122.84
Rumah Tinggal,Makassar,136,244,2,17.3,569.43,132.84,100.04,35.65
Gudang,Medan,1336,2420,1,550.79,446.62,1221.77,1656.78,268.68
Gudang,Medan,1646,2102,1,623.19,434.06,1461.56,1935.36,324.35
Rumah Tinggal,Makassar,268,443,1,62.69,560.46,250.17,317.53,57.26
Sekolah,Makassar,1307,1882,3,103.76,1743.47,1283.21,573.5,258.71
Masjid,Medan,523,825,1,119.49,398.12,502.03,653.42,98.25
Masjid,Makassar,227,301,1,55.15,251.97,202.39,292.99,50.87
Masjid,Medan,763,1329,1,197.84,419.07,697.41,894.46,144.7
Sekolah,Medan,1348,2443,3,121.14,1772.67,1278.15,623.27,290.55
Masjid,Makassar,482,735,2,54.36,571.01,441.19,343.42,121.39
Gudang,Medan,1648,3110,1,632.65,459.62,1565.89,2219.48,307.96
Masjid,Bandung,872,1105,1,222.28,462.61,789.52,1065.95,137.87
Masjid,Jakarta,665,866,1,153.66,420.46,678.75,787.67,132.41
Sekolah,Bandung,1343,1998,3,121.8,1793.51,1271.99,668.91,225.91
Sekolah,Bandung,526,807,2,61.75,972.25,455.78,354.06,98.72
Rumah Tinggal,Jakarta,152,282,2,18.05,619.48,147.96,115.19,27.54
Sekolah,Bandung,1476,2334,1,370.91,1133.37,1363.04,1979.6,360.16
Rumah Tinggal,Bandung,51,86,1,11.9,259.67,51.1,64.67,7.43
Rumah Tinggal,Surabaya,103,157,2,12.11,460.73,102.42,73.74,19.95
Sekolah,Jakarta,585,1153,3,50.7,1180.95,591.44,248.06,89.45
Gudang,Jakarta,1712,2631,1,632.86,506.21,1672.05,2426.38,267.35
Gudang,Jakarta,365,626,1,135.39,195.67,343.83,476.8,95.83
Masjid,Medan,194,319,1,45.16,234.98,182.19,259.43,33.14
Gudang,Medan,1794,3250,1,723.25,456.79,1580.31,2123.99,358.45
Rumah Tinggal,Surabaya,200,284,1,47.45,479.36,177.71,272.21,28.06
Rumah Tinggal,Bandung,200,268,1,46.26,484.43,182.65,251.82,35.33
Masjid,Makassar,268,410,2,31.9,392.61,271.19,200.97,58.75
Sekolah,Jakarta,1387,2103,3,121.31,1952.79,1251.65,625.6,228.33
Rumah Tinggal,Bandung,281,551,1,71.66,627.93,293.63,354.45,47.65
Sekolah,Surabaya,872,1220,2,100.21,1246.7,856.16,563.75,139.06
Sekolah,Bandung,220,273,1,59.95,454.5,218.39,290.88,34.62
Sekolah,Medan,406,728,3,36.72,952.88,404.12,204.16,102.92
Masjid,Makassar,324,459,2,37.51,448.78,305.86,231.0,80.26
Gudang,Surabaya,283,488,1,103.98,192.11,281.6,385.34,68.11
Sekolah,Jakarta,787,1320,1,193.1,772.66,677.93,1058.41,149.74
Sekolah,Surabaya,733,1042,2,92.32,1131.8,671.46,506.78,108.0
Sekolah,Surabaya,1487,2309,2,171.04,1398.62,1301.67,1082.27,225.06
Rumah Tinggal,Bandung,85,117,2,9.79,422.8,75.71,57.17,15.9
Rumah Tinggal,Makassar,184,259,2,21.86,704.47,158.8,120.57,44.33
Gudang,Makassar,1703,2576,1,659.23,499.09,1564.66,2150.52,278.19
Rumah Tinggal,Surabaya,185,350,2,25.13,728.53,192.74,132.34,43.68
Sekolah,Makassar,1392,2466,1,379.6,1004.35,1242.84,1761.08,245.28
Sekolah,Surabaya,644,840,2,80.58,1023.01,609.53,407.06,132.65
Sekolah,Jakarta,704,1197,2,92.46,1076.1,601.98,470.91,118.6
Gudang,Makassar,1595,2387,1,619.49,451.93,1424.33,1870.56,287.17
Masjid,Jakarta,130,257,2,16.28,252.09,128.57,83.73,20.61
Masjid,Medan,705,1191,1,171.72,489.2,688.97,970.04,120.78
Masjid,Jakarta,564,681,2,73.84,543.37,547.81,371.46,105.66
Gudang,Bandung,243,410,1,82.48,178.67,220.97,311.25,48.22
Masjid,Medan,980,1185,2,127.51,777.23,977.46,717.95,220.66
Sekolah,Makassar,355,623,1,94.28,515.58,334.8,445.44,52.65
Sekolah,Medan,482,924,1,112.39,556.66,426.72,588.55,93.59
Sekolah,Surabaya,452,611,2,60.55,856.09,454.75,320.59,113.65
Masjid,Medan,693,1286,2,78.81,652.44,718.72,443.73,134.08
Gudang,Bandung,1096,1440,1,448.48,345.18,1119.21,1314.64,272.72
Sekolah,Makassar,857,1433,3,76.03,1513.05,866.92,423.75,169.53
Rumah Tinggal,Bandung,182,311,2,22.02,709.22,187.88,133.0,36.65
Gudang,Makassar,587,1048,1,205.91,284.19,503.33,806.55,102.03
Gudang,Jakarta,461,788,1,162.3,254.83,473.65,645.1,81.19
Sekolah,Makassar,895,1690,2,106.32,1206.36,865.0,565.9,165.92
