,SATUAN PEMBAYARAN,,,M3,,,
,KODE ANALASISA,,,: 2.2.1.4.6,,,
,No,Uraian,Kode,Satuan,Koefisien,"Harga Satuan
  (RP)","Jumlah Harga
  (RP)"
,A,Tenaga Kerja,,,,,
,,Pekerja,L.01,OH,"1,650","179.316,56","295.872,33"
,,"Tukang besi/besi
  beton",L.02,OH,275,"184.316,56","50.687,05"
,,Kepala Tukang,L.03,OH,28,"189.316,56","5.300,86"
,,Mandor,L.04,OH,9,"194.316,56","1.748,85"
,B,Bahan,,,,,
,,Semen Portland,,kg,368,"1.700,00","625.600,00"
,,Pasir beton,,kg,770,"166,00","127.820,00"
,,Kerikil,,kg,1009,"180,00","181.620,00"
,,Air,,liter,202,"70,00","14.140,00"
,,,,,,,
,C,Peralatan *),,,,,
,,,,,,,
,D,"Jumlah Harga Tenaga Kerja, Bahan dan Peralatan (A+B+C)",,,,,"Rp1.302.789,10"
,E,Biaya Umum dan Keuntungan (10% - 15%) x D,,,,10%,"Rp130.278,91"
,F,Harga Satuan Pekerjaan (D+E),,,,,"Rp1.433.068,01"
,,,,,,,
,,,,,,,
,,,,,,,
,JENIS PEKERJAAN,,,": beton mutu rendah f'c 10 MPa, Slump (100 ± 25) mm, 
 agregat maks 19 mm secara manual",,,
,SATUAN PEMBAYARAN,,,M3,,,
,KODE ANALASISA,,,: 2.2.1.4.2,,,
,No,Uraian,Kode,Satuan,Koefisien,"Harga Satuan
  (RP)","Jumlah Harga
  (RP)"
,A,Tenaga Kerja,,,,,
,,Pekerja,L.01,OH,"16,500","179.316,56","295.872,33"
,,Tukang batu/tembok,L.02,OH,"2,750","184.316,56","50.687,05"
,,Kepala Tukang,L.03,OH,280,"189.316,56","5.300,86"
,,Mandor,L.04,OH,90,"194.316,56","1.748,85"
,,,,,,,
,B,Bahan,,,,,
,,Semen Portland,,kg,267,"1.700,00","453.900,00"
,,Pasir beton,,kg,871,"166,00","144.586,00"
,,Kerikil,,kg,1.009,"180,00","181.620,00"
,,Air,,liter,202,"70,00","14.140,00"
,,,,,,,
,C,Peralatan *),,,,,
,,,,,,,
,D,"Jumlah Harga Tenaga Kerja, Bahan dan Peralatan (A+B+C)",,,,,"Rp1.147.855,10"
,E,Biaya Umum dan Keuntungan (10% - 15%) x D,,,,10%,"Rp114.785,51"
,F,Harga Satuan Pekerjaan (D+E),,,,,"Rp1.262.640,61"
,,,,,,,
,JENIS PEKERJAAN,,,: Pembesian slab diameter ≥ 12mm,,,
,SATUAN PEMBAYARAN,,,: Kg,,,
,KODE ANALASISA,,,: 2.2.1.1.2.a,,,
,No,Uraian,Kode,Satuan,Koefisien,"Harga Satuan
  (RP)","Jumlah Harga
  (RP)"
,A,Tenaga Kerja,,,,,
,,Pekerja,L.01,OH,80,"179.316,56","143,45"
,,"Tukang besi/besi
  beton",L.02,OH,40,"184.316,56","73,73"
,,Kepala Tukang,L.03,OH,4,"189.316,56","7,57"
,,Mandor,L.04,OH,8,"194.316,56","15,55"
,,,,,,,
,B,Bahan,,,,,
,,Baja Tulangan Sirip (BjTS),,kg,"1,020","13.200,00","13.464,00"
,,Kawat tali beton,,kg,15,"48.855,31","732,83"
,,,,,,,
,C,Peralatan *),,,,,
,,Cutter baja beton,,hari,"4,000","5.000,00","2.000,00"
,,Bender baja beton,,hari,"4,000","5.000,00","2.000,00"
,,,,,,,
,D,"Jumlah Harga Tenaga Kerja, Bahan dan Peralatan (A+B+C)",,,,,"Rp18.437,13"
,E,Biaya Umum dan Keuntungan (10% - 15%) x D,,,,10%,"Rp1.843,71"
,F,Harga Satuan Pekerjaan (D+E),,,,,"Rp20.280,84"
,,,,,,,
,,,,,,,
,JENIS PEKERJAAN,,,: pemasangan bekisting,,,
,SATUAN PEMBAYARAN,,,: Kg,,,
,KODE ANALASISA,,,: 2.21.3.1,,,
,No,Uraian,Kode,Satuan,Koefisien,"Harga Satuan
  (RP)","Jumlah Harga
  (RP)"
,1,2,3,4,5,"6,00","7,00"
,A,Tenaga Kerja,,,,,
,1,Pekerja,L.01,OH,520,"179.316,56","93.244,61"
,2,Tukang Kayu,L.02,OH,260,"184.316,56","47.922,31"
,3,Kepala Tukang,L.03,OH,26,"189.316,56","4.922,23"
,4,Mandor,L.04,OH,9,"194.316,56","1.748,85"
,Jumlah Harga Tenaga Kerja,,,,,,
,B,Bahan,,,,,
,1,Papan Kayu Kelas III,M.48.d,m3,160,"1.500.000,00","24.000,00"
,3,Paku 5 – 12 cm,M.77.d,Kg,"3,000","15.500,00","4.650,00"
,4,Minyak Bekisting,M.141.b,Liter,100,"16.500,00","1.650,00"
,Jumlah Harga Bahan,,,,,,
,C,Peralatan,,,,,
,Jumlah Harga Peralatan,,,,,,
,D,"Jumlah Harga Tenaga Kerja, Bahan dan Peralatan (A+B+C)",,,,,"Rp178.138,00"
,E,Biaya Umum dan Keuntungan (10% - 15%) xD,,,,10%,"Rp17.813,80"
,F,Harga Satuan Pekerjaan (D+E),,,,,"Rp195.951,80"
,,,,,,,
,JENIS PEKERJAAN,,,": 1 kg Penulangan kolom, balok, ring balk, sloof, dan shearwall untuk BjTS diameter ≥ 12 mm, cara Semi mekanis (untuk bangunan gedung)",,,
,SATUAN PEMBAYARAN,,,: Kg,,,
,KODE ANALASISA,,,: 2.2.1.1.3,,,
,No,Uraian,Kode,Satuan,Koefisien,"Harga Satuan
  (RP)","Jumlah Harga
  (RP)"
,A,Tenaga Kerja,,,,,
,,Pekerja,L.01,OH,160,"179.316,56","286,91"
,,"Tukang besi/besi
  beton",L.02,OH,160,"184.316,56","294,91"
,,Kepala Tukang,L.03,OH,16,"189.316,56","30,29"
,,Mandor,L.04,OH,16,"194.316,56","31,09"
,Jumlah Harga Tenaga Kerja,,,,,,
,B,Bahan,,,,,
,,Baja Tulangan Sirip (BjTS),,Kg,"1,020","13.200,00","13.464,00"
,,Kawat tali beton,,Kg,28,"48.855,31","1.367,95"
,Jumlah Harga Bahan,,,,,,
,C,Peralatan,,,,,
,,Cutter baja beton,,hari,"4,000","0,00","0,00"
,,Bender baja beton,,hari,"4,000","0,00","0,00"
,Jumlah Harga Alat,,,,,,
,D,"Jumlah Harga Tenaga Kerja, Bahan dan Peralatan (A+B+C)",,,,,"15.475,14"
,E,Biaya Umum dan Keuntungan (10% - 15%) x D,,,,10%,"1.547,51"
,F,Harga Satuan Pekerjaan (D+E),,,,,"17.022,66"
,,,,,,,
,,,,,,,
,,,,,,,
,JENIS PEKERJAAN,,,: Pemasangan 1 m2 bekisting untuk kolom (3 kali pakai),,,
,SATUAN PEMBAYARAN,,,: m2,,,
,KODE ANALASISA,,,: 2.2.1.3.4,,,
,No,Uraian,Kode,Satuan,Koefisien,"Harga Satuan
  (Rp)","Jumlah Harga
  (Rp)"
,A,Tenaga Kerja,,,,,
,,Pekerja,L.01,OH,660,"179.316,56","118.348,93"
,,Tukang Kayu,L.02,OH,330,"184.316,56","60.824,47"
,,Kepala Tukang,L.03,OH,33,"189.316,56","6.247,45"
,,Mandor,L.04,OH,11,"194.316,56","2.137,48"
,Jumlah Harga Tenaga Kerja,,,,,,
,B,Bahan,,,,,
,,Paku 5 – 12 cm,,kg,"40,000","15.500,00","6.200,00"
,,Minyak bekisting,,liter,"20,000","16.500,00","3.300,00"
,,Balok kayu kelas II,,m3,465,"1.350.000,00","6.277,50"
,,Plywood tebal 12 mm,,lembar,"12,705","130.000,00","16.516,50"
,,Dolken dia 8 s/d 10 cm,,batang,"65,000","18.000,00","11.700,00"
,Jumlah Harga Bahan,,,,,,
,C,Peralatan,,,,,
,Jumlah Harga Alat,,,,,,
,D,"Jumlah Harga Tenaga Kerja, Bahan dan Peralatan (A+B+C)",,,,,"113.203,39"
,E,Biaya Umum dan Keuntungan (10% - 15%) x D,,,,10%,"11.320,34"
,F,Harga Satuan Pekerjaan (D+E),,,,,"124.523,73"
,,,,,,,
,JENIS PEKERJAAN,,,: Pemasangan 1 m2 bekisting untuk Sloof (3 kali pakai),,,
,SATUAN PEMBAYARAN,,,: m2,,,
,KODE ANALASISA,,,: 2.2.1.3.4,,,
,No,Uraian,Kode,Satuan,Koefisien,"Harga Satuan
  (RP)","Jumlah Harga
  (RP)"
,A,Tenaga Kerja,,,,,
,,Pekerja,L.01,OH,660,"179.316,56","118.348,93"
,,Tukang Kayu,L.02,OH,330,"184.316,56","60.824,47"
,,Kepala Tukang,L.03,OH,33,"189.316,56","6.247,45"
,,Mandor,L.04,OH,11,"194.316,56","2.137,48"
,Jumlah Harga Tenaga Kerja,,,,,,
,B,Bahan,,,,,
,,Paku 5 – 12 cm,,kg,"40,000","15.500,00","6.200,00"
,,Minyak bekisting,,liter,"20,000","16.500,00","3.300,00"
,,Balok kayu kelas II,,m3,558,"1.350.000,00","7.533,00"
,,Plywood tebal 12 mm,,lembar,"12,705","130.000,00","16.516,50"
,,Dolken dia 8 s/d 10 cm,,batang,"65,000","18.000,00","11.700,00"
,Jumlah Harga Bahan,,,,,,
,C,Peralatan,,,,,
,Jumlah Harga Alat,,,,,,
,D,"Jumlah Harga Tenaga Kerja, Bahan dan Peralatan (A+B+C)",,,,,"114.458,89"
,E,Biaya Umum dan Keuntungan (10% - 15%) x D,,,,10%,"11.445,89"
,F,Harga Satuan Pekerjaan (D+E),,,,,"125.904,78"
,,,,,,,
,,,,,,,
,JENIS PEKERJAAN,,,: 1 kg Pekerjaan baja pelat secara semi mekanis,,,
,SATUAN PEMBAYARAN,,,: kg,,,
,KODE ANALASISA,,,: 2.3.1.4,,,
,No,Uraian,Kode,Satuan,Koefisien,"Harga Satuan
  (RP)","Jumlah Harga
  (RP)"
,A,Tenaga Kerja,,,,,
,,Pekerja,L.01,OH,35,"179.316,56","6.186,42"
,,"Tukang besi/besi
  beton",L.02,OH,35,"184.316,56","6.358,92"
,,Kepala Tukang,L.03,OH,3,"189.316,56","643,68"
,,Mandor,L.04,OH,1,"194.316,56","213,75"
,Jumlah Harga Tenaga Kerja,,,,,,
,B,Bahan,,,,,
,,Baja Pelat,,kg,"1,15","9.680,85","11.132,98"
,,Kawat las,,kg,53,"35.000,00","1.855,00"
,Jumlah Harga Bahan,,,,,,
,C,Peralatan,,,,,
,,Alat Las Listrik,,Hari,33,"50.000,00","1.650,00"
,Jumlah Harga Alat,,,,,,
,D,"Jumlah Harga Tenaga Kerja, Bahan dan Peralatan (A+B+C)",,,,,"21.854,32"
,E,Biaya Umum dan Keuntungan (10% - 15%) x D,,,,10%,"2.185,43"
,F,Harga Satuan Pekerjaan (D+E),,,,,"24.039,76"
,,,,,,,
,,,,,,,
,JENIS PEKERJAAN,,,: 1 kg Pemasangan angkur,,,
,SATUAN PEMBAYARAN,,,: kg,,,
,KODE ANALASISA,,,: 2.3.1.2,,,
,No,Uraian,Kode,Satuan,Koefisien,"Harga Satuan
  (RP)","Jumlah Harga
  (RP)"
,A,Tenaga Kerja,,,,,
,,Pekerja,L.01,OH,41,"179.316,56","7.280,25"
,,"Tukang besi/besi
  beton",L.02,OH,41,"184.316,56","7.483,25"
,,Mandor,L.04,OH,4,"194.316,56","796,70"
,Jumlah Harga Tenaga Kerja,,,,,,
,B,Bahan,,,,,
,,Angkur,,kg,"1,00","47.920,21","47.920,21"
,,Kawat las,,kg,75,"35.000,00","262,50"
,Jumlah Harga Bahan,,,,,,
,C,Peralatan,,,,,
,,Alat Las Listrik,,Hari,406,"50.000,00","2.030,00"
,Jumlah Harga Alat,,,,,,
,D,"Jumlah Harga Tenaga Kerja, Bahan dan Peralatan (A+B+C)",,,,,"58.492,66"
,E,Biaya Umum dan Keuntungan (10% - 15%) x D,,,,10%,"5.849,27"
,F,Harga Satuan Pekerjaan (D+E),,,,,"64.341,93"
,,,,,,,
,JENIS PEKERJAAN,,,: 1 kg Pabrikasi dan Ereksi Baja Profil ( H BEAM),,,
,SATUAN PEMBAYARAN,,,: kg,,,
,KODE ANALASISA,,,: 2.3.1.1,,,
,No,Uraian,Kode,Satuan,Koefisien,"Harga Satuan
  (RP)","Jumlah Harga
  (RP)"
,A,Tenaga Kerja,,,,,
,,Pekerja,L.01,OH,38,"179.316,56","6.724,37"
,,"Tukang besi/besi
  beton",L.02,OH,13,"184.316,56","2.303,96"
,,Kepala Tukang,L.03,OH,3,"189.316,56","473,29"
,,Mandor,L.04,OH,1,"194.316,56","155,45"
,Jumlah Harga Tenaga Kerja,,,,,,
,B,Bahan,,,,,
,,Baja Profil ( H Beam ),,kg,"1,15","27.324,00","31.422,60"
,,Kawat las,,kg,53,"35.000,00","1.855,00"
,Jumlah Harga Bahan,,,,,,
,C,Peralatan,,,,,
,,Alat las Listrik,,jam,33,"7.142,86","235,71"
,,Crane Mobile 7 ton,,jam,13,"85.714,29","111,43"
,Jumlah Harga Alat,,,,,,
,D,"Jumlah Harga Tenaga Kerja, Bahan dan Peralatan (A+B+C)",,,,,"36.557,44"
,E,Biaya Umum dan Keuntungan (10% - 15%) x D,,,,10%,"3.655,74"
,F,Harga Satuan Pekerjaan (D+E),,,,,"40.213,19"
,,,,,,,
,JENIS PEKERJAAN,,,": 1 kg Pabrikasi dan Ereksi Baja Profil (Balok IWF 200x100x5,5x8)",,,
,SATUAN PEMBAYARAN,,,: kg,,,
,KODE ANALASISA,,,: 2.3.1.1,,,
,No,Uraian,Kode,Satuan,Koefisien,"Harga Satuan
  (RP)","Jumlah Harga
  (RP)"
,A,Tenaga Kerja,,,,,
,,Pekerja,L.01,OH,38,"179.316,56","6.724,37"
,,"Tukang besi/besi
  beton",L.02,OH,13,"184.316,56","2.303,96"
,,Kepala Tukang,L.03,OH,3,"189.316,56","473,29"
,,Mandor,L.04,OH,1,"194.316,56","155,45"
,Jumlah Harga Tenaga Kerja,,,,,,
,B,Bahan,,,,,
,,"Baja Profil ( IWF 200 x 100 x 5,5x8 )",,kg,"1,15","19.824,47","22.798,14"
,,Kawat las,,kg,53,"35.000,00","1.855,00"
,Jumlah Harga Bahan,,,,,,
,C,Peralatan,,,,,
,,Alat las Listrik,,jam,33,"7.142,86","235,71"
,,Crane Mobile 7 ton,,jam,13,"85.714,29","111,43"
,Jumlah Harga Alat,,,,,,
,D,"Jumlah Harga Tenaga Kerja, Bahan dan Peralatan (A+B+C)",,,,,"27.932,98"
,E,Biaya Umum dan Keuntungan (10% - 15%) x D,,,,10%,"2.793,30"
,F,Harga Satuan Pekerjaan (D+E),,,,,"30.726,28"
,,,,,,,
,JENIS PEKERJAAN,,,": 1 kg Pabrikasi dan Ereksi Baja Profil (Balok IWF 200x100x5,5x8)",,,
,SATUAN PEMBAYARAN,,,: kg,,,
,KODE ANALASISA,,,: 2.3.1.1,,,
,No,Uraian,Kode,Satuan,Koefisien,"Harga Satuan
  (RP)","Jumlah Harga
  (RP)"
,A,Tenaga Kerja,,,,,
,,Pekerja,L.01,OH,38,"179.316,56","6.724,37"
,,"Tukang besi/besi
  beton",L.02,OH,13,"184.316,56","2.303,96"
,,Kepala Tukang,L.03,OH,3,"189.316,56","473,29"
,,Mandor,L.04,OH,1,"194.316,56","155,45"
,Jumlah Harga Tenaga Kerja,,,,,,
,B,Bahan,,,,,
,,Baja Profil (IWF 150x75x5x7),,kg,"1,15","17.991,70","20.690,46"
,,Kawat las,,kg,53,"35.000,00","1.855,00"
,Jumlah Harga Bahan,,,,,,
,C,Peralatan,,,,,
,,Alat las Listrik,,jam,33,"7.142,86","235,71"
,,Crane Mobile 7 ton,,jam,13,"85.714,29","111,43"
,Jumlah Harga Alat,,,,,,
,D,"Jumlah Harga Tenaga Kerja, Bahan dan Peralatan (A+B+C)",,,,,"25.825,30"
,E,Biaya Umum dan Keuntungan (10% - 15%) x D,,,,10%,"2.582,53"
,F,Harga Satuan Pekerjaan (D+E),,,,,"28.407,83"
,,,,,,,
,JENIS PEKERJAAN,,,": Pemasangan 1 m2 Dinding Bata Merah Tebal ½ Batu dengan Mortar Tipe M, fc’ 17, 7 MPa (Setara Campuran 1SP : 2PP)",,,
,SATUAN PEMBAYARAN,,,: m2,,,
,KODE ANALASISA,,,: 3.6.1.6,,,
,No,Uraian,Kode,Satuan,Koefisien,"Harga Satuan
  (RP)","Jumlah Harga
  (RP)"
,A,Tenaga Kerja,,,,,
,,Pekerja,L.01,OH,38,"179.316,56","6.724,37"
,2,Tukang,L.02,OH,"1,000","184.316,56","18.431,66"
,3,Kepala Tukang,L.03,OH,100,"189.316,56","1.893,17"
,4,Mandor,L.04,OH,33,"194.316,56","641,24"
,JUMLAH HARGA TENAGA KERJA,,,,,,
,B,BAHAN,,,,,
,1,Bata Merah,,buah,"71,91","800,00","57.528,00"
,2,Semen Portland,,Kg,"18,95","1.700,00","32.215,00"
,3,Pasir Pasang,,m3,38,"150.170,00","5.706,46"
,JUMLAH HARGA BAHAN,,,,,,
,C,PERALATAN,,,,,
,,,,,,,
,JUMLAH HARGA ALAT,,,,,,
