Tipe_Proyek,Luas_Tanah_m2,Vol_Pondasi_m3,Vol_Dinding_m2,Vol_Lantai_m2,Vol_Atap_m2
Kantor Desa,231,51.22,279.37,232.81,256.09
Kantor Desa,309,63.27,345.08,287.57,316.33
Kantor Desa,372,74.03,403.78,336.48,370.13
Rumah Tinggal,76,16.15,161.49,72.67,96.9
Kantor Desa,290,60.24,328.56,273.8,301.18
Masjid,52,12.44,74.62,49.75,64.67
Masjid,338,87.24,523.45,348.96,453.65
Masjid,370,98.52,591.12,394.08,512.31
Masjid,427,108.45,650.69,433.79,563.93
Masjid,269,62.09,372.54,248.36,322.87
Rumah Tinggal,107,22.04,220.41,99.18,132.25
Masjid,455,114.26,685.56,457.04,594.15
Kantor Desa,160,37.48,204.44,170.37,187.4
Kantor Desa,254,56.97,310.77,258.98,284.87
Rumah Tinggal,60,11.52,115.21,51.84,69.12
Masjid,392,99.11,594.68,396.45,515.39
Rumah Tinggal,388,81.92,819.23,368.65,491.54
Rumah Tinggal,130,25.7,257.04,115.67,154.22
Rumah Tinggal,389,72.46,724.64,326.09,434.79
Rumah Tinggal,382,81.77,817.66,367.95,490.6
Kantor Desa,214,50.8,277.08,230.9,253.99
Masjid,62,15.57,93.42,62.28,80.97
Rumah Tinggal,408,87.06,870.56,391.75,522.33
Rumah Tinggal,499,97.78,977.84,440.03,586.71
Kantor Desa,72,16.18,88.23,73.52,80.88
Rumah Tinggal,335,72.52,725.22,326.35,435.13
Kantor Desa,175,34.84,190.02,158.35,174.18
Masjid,382,90.68,544.06,362.7,471.52
Kantor Desa,314,72.58,395.91,329.92,362.91
Rumah Tinggal,341,70.23,702.26,316.02,421.36
Masjid,148,38.25,229.53,153.02,198.93
Kantor Desa,301,65.05,354.83,295.69,325.26
Masjid,245,64.62,387.73,258.48,336.03
Kantor Desa,174,36.11,196.96,164.13,180.54
Masjid,433,102.39,614.36,409.58,532.45
Rumah Tinggal,186,33.61,336.05,151.22,201.63
Kantor Desa,255,57.19,311.96,259.97,285.97
Masjid,155,40.46,242.77,161.85,210.4
Masjid,242,63.43,380.6,253.74,329.86
Rumah Tinggal,210,45.77,457.66,205.95,274.6
Masjid,308,75.09,450.51,300.34,390.44
Rumah Tinggal,149,27.77,277.69,124.96,166.61
Kantor Desa,323,72.26,394.15,328.46,361.3
Masjid,376,99.05,594.32,396.21,515.07
Kantor Desa,119,26.33,143.6,119.67,131.64
Kantor Desa,296,67.77,369.65,308.05,338.85
Kantor Desa,488,101.19,551.92,459.93,505.93
Rumah Tinggal,355,78.04,780.39,351.18,468.23
Masjid,376,103.17,619.01,412.67,536.47
Rumah Tinggal,223,43.41,434.12,195.36,260.47
Rumah Tinggal,233,47.33,473.25,212.96,283.95
Rumah Tinggal,63,12.54,125.43,56.44,75.26
Masjid,485,113.52,681.1,454.07,590.29
Rumah Tinggal,238,43.79,437.9,197.05,262.74
Kantor Desa,353,73.84,402.76,335.64,369.2
Masjid,56,13.36,80.16,53.44,69.47
Masjid,255,68.0,407.98,271.99,353.58
Kantor Desa,126,25.04,136.56,113.8,125.18
Rumah Tinggal,479,95.8,958.04,431.12,574.83
Masjid,157,35.46,212.73,141.82,184.37
Kantor Desa,253,59.71,325.68,271.4,298.54
Masjid,493,112.76,676.57,451.05,586.36
Masjid,164,37.31,223.88,149.25,194.03
Kantor Desa,250,59.35,323.72,269.77,296.74
Rumah Tinggal,88,18.94,189.43,85.24,113.66
Rumah Tinggal,445,90.7,906.98,408.14,544.19
Masjid,245,57.0,341.99,227.99,296.39
Rumah Tinggal,169,35.17,351.73,158.28,211.04
Rumah Tinggal,138,28.78,287.82,129.52,172.69
Masjid,496,113.29,679.75,453.17,589.12
Masjid,438,115.46,692.77,461.85,600.4
Rumah Tinggal,204,44.36,443.61,199.63,266.17
Kantor Desa,63,13.8,75.29,62.74,69.02
Rumah Tinggal,107,22.23,222.28,100.03,133.37
Rumah Tinggal,163,35.17,351.7,158.26,211.02
Rumah Tinggal,120,24.1,241.03,108.46,144.62
Rumah Tinggal,221,44.79,447.88,201.55,268.73
Rumah Tinggal,365,74.38,743.76,334.69,446.26
Masjid,250,59.94,359.63,239.76,311.68
Rumah Tinggal,296,55.18,551.84,248.33,331.11
Kantor Desa,65,13.35,72.84,60.7,66.77
Kantor Desa,94,20.17,109.99,91.66,100.83
Kantor Desa,96,22.03,120.15,100.13,110.14
Kantor Desa,441,96.75,527.71,439.76,483.74
Kantor Desa,386,91.41,498.63,415.52,457.07
Kantor Desa,343,71.92,392.28,326.9,359.59
Kantor Desa,480,98.37,536.56,447.13,491.84
Kantor Desa,75,18.13,98.9,82.41,90.65
Kantor Desa,132,27.39,149.38,124.48,136.93
Masjid,456,105.86,635.17,423.44,550.48
Kantor Desa,258,52.1,284.17,236.81,260.49
Rumah Tinggal,464,85.87,858.7,386.42,515.22
Kantor Desa,222,50.35,274.66,228.88,251.77
Rumah Tinggal,363,77.46,774.64,348.59,464.78
Masjid,385,93.85,563.08,375.39,488.0
Masjid,87,21.92,131.55,87.7,114.01
Masjid,500,122.3,733.81,489.21,635.97
Rumah Tinggal,239,46.27,462.68,208.21,277.61
Rumah Tinggal,212,44.17,441.75,198.79,265.05
Kantor Desa,358,78.66,429.03,357.52,393.28
Kantor Desa,195,40.48,220.78,183.98,202.38
Rumah Tinggal,264,55.42,554.2,249.39,332.52
Rumah Tinggal,378,75.72,757.17,340.73,454.3
Kantor Desa,162,32.91,179.51,149.59,164.55
Masjid,274,71.25,427.52,285.02,370.52
Rumah Tinggal,476,101.46,1014.62,456.58,608.77
Kantor Desa,309,73.76,402.33,335.27,368.8
Masjid,120,30.51,183.04,122.03,158.64
Rumah Tinggal,286,60.43,604.3,271.94,362.58
Rumah Tinggal,417,85.78,857.76,385.99,514.66
Rumah Tinggal,359,77.17,771.66,347.25,463.0
Kantor Desa,439,90.45,493.39,411.16,452.27
Masjid,467,114.54,687.25,458.16,595.61
Kantor Desa,134,28.03,152.9,127.41,140.16
Kantor Desa,385,91.93,501.43,417.86,459.65
Rumah Tinggal,164,31.51,315.06,141.78,189.04
Kantor Desa,185,38.48,209.89,174.9,192.39
Rumah Tinggal,89,17.68,176.82,79.57,106.09
Rumah Tinggal,231,45.69,456.93,205.62,274.16
Masjid,386,99.34,596.02,397.35,516.55
Masjid,146,39.52,237.1,158.07,205.49
Rumah Tinggal,341,72.0,719.98,323.99,431.99
Kantor Desa,439,106.09,578.65,482.21,530.43
Masjid,361,85.8,514.81,343.21,446.17
Masjid,256,65.56,393.36,262.24,340.91
Rumah Tinggal,475,96.64,966.39,434.87,579.83
Masjid,468,123.99,743.91,495.94,644.72
Kantor Desa,143,29.48,160.8,134.0,147.4
Kantor Desa,277,61.16,333.61,278.01,305.81
Masjid,70,17.93,107.6,71.74,93.26
Rumah Tinggal,464,85.73,857.27,385.77,514.36
Masjid,231,63.3,379.81,253.21,329.17
Kantor Desa,485,107.07,584.03,486.69,535.36
Masjid,275,68.84,413.06,275.38,357.99
Masjid,478,111.13,666.78,444.52,577.87
Rumah Tinggal,199,40.52,405.21,182.34,243.12
Rumah Tinggal,335,67.49,674.93,303.72,404.96
Masjid,128,30.78,184.68,123.12,160.05
Kantor Desa,134,30.0,163.66,136.38,150.02
Masjid,362,90.39,542.36,361.57,470.05
Masjid,365,96.24,577.42,384.95,500.43
Kantor Desa,302,70.11,382.43,318.7,350.57
Kantor Desa,89,19.94,108.78,90.65,99.71
Kantor Desa,226,47.95,261.57,217.97,239.77
Masjid,154,39.26,235.58,157.05,204.17
Kantor Desa,360,85.09,464.1,386.75,425.43
Rumah Tinggal,440,89.11,891.11,401.0,534.67
Kantor Desa,310,66.68,363.7,303.08,333.39
Masjid,268,73.4,440.41,293.6,381.69
Kantor Desa,187,42.62,232.46,193.71,213.08
Masjid,362,99.28,595.67,397.11,516.25
Kantor Desa,419,89.9,490.38,408.65,449.51
Kantor Desa,239,56.24,306.78,255.65,281.22
Rumah Tinggal,256,55.31,553.07,248.88,331.84
Rumah Tinggal,384,75.69,756.88,340.6,454.13
Masjid,434,103.73,622.38,414.92,539.4
Masjid,115,30.78,184.71,123.14,160.08
Kantor Desa,139,30.39,165.74,138.12,151.93
Kantor Desa,219,47.57,259.47,216.22,237.85
Kantor Desa,300,60.24,328.59,273.82,301.21
Kantor Desa,235,52.04,283.84,236.53,260.19
Masjid,349,90.21,541.24,360.82,469.07
Kantor Desa,397,90.79,495.23,412.69,453.96
Masjid,61,16.45,98.72,65.82,85.56
Rumah Tinggal,177,32.25,322.51,145.13,193.51
Masjid,341,78.7,472.22,314.81,409.25
Rumah Tinggal,434,82.99,829.94,373.47,497.96
Masjid,99,24.88,149.27,99.52,129.37
Kantor Desa,446,94.89,517.58,431.31,474.44
Rumah Tinggal,371,71.26,712.61,320.67,427.57
Kantor Desa,343,77.44,422.41,352.01,387.21
Masjid,463,112.13,672.75,448.5,583.05
Rumah Tinggal,183,36.19,361.93,162.87,217.16
Rumah Tinggal,199,35.85,358.53,161.34,215.12
Kantor Desa,447,94.53,515.61,429.67,472.64
Kantor Desa,124,28.74,156.78,130.65,143.72
Rumah Tinggal,109,21.54,215.43,96.95,129.26
Masjid,64,15.36,92.15,61.43,79.86
Rumah Tinggal,111,24.34,243.37,109.52,146.02
Masjid,174,39.94,239.67,159.78,207.71
Masjid,51,12.44,74.62,49.75,64.67
Masjid,63,15.77,94.63,63.08,82.01
Masjid,207,47.1,282.59,188.4,244.91
Kantor Desa,121,27.64,150.78,125.65,138.22
Masjid,104,26.19,157.14,104.76,136.18
Masjid,385,99.52,597.1,398.07,517.49
Masjid,174,41.33,247.97,165.31,214.9
Rumah Tinggal,103,22.23,222.32,100.04,133.39
Masjid,149,33.79,202.77,135.18,175.73
Masjid,352,92.97,557.79,371.86,483.42
Masjid,282,70.21,421.29,280.86,365.12
Masjid,75,20.18,121.08,80.72,104.94
Rumah Tinggal,204,37.88,378.76,170.44,227.25
Masjid,398,107.98,647.91,431.94,561.52
Kantor Desa,251,57.39,313.03,260.86,286.95
Masjid,486,115.98,695.86,463.91,603.08
Rumah Tinggal,86,16.13,161.34,72.6,96.8
Kantor Desa,216,48.04,262.03,218.36,240.2
Rumah Tinggal,338,65.95,659.53,296.79,395.72
Rumah Tinggal,301,58.3,583.01,262.35,349.8
Kantor Desa,481,115.23,628.53,523.78,576.16
Kantor Desa,323,73.63,401.62,334.68,368.15
Rumah Tinggal,402,81.29,812.86,365.79,487.72
Masjid,494,112.12,672.71,448.48,583.02
Kantor Desa,326,75.12,409.75,341.46,375.61
Rumah Tinggal,118,23.25,232.54,104.64,139.53
Kantor Desa,68,14.58,79.53,66.28,72.91
Kantor Desa,183,36.68,200.06,166.72,183.39
Masjid,136,31.93,191.6,127.73,166.05
Kantor Desa,241,55.06,300.34,250.28,275.31
Kantor Desa,94,19.25,104.98,87.49,96.24
Rumah Tinggal,275,50.23,502.29,226.03,301.37
Masjid,417,113.27,679.63,453.09,589.01
Rumah Tinggal,326,66.59,665.93,299.67,399.56
Masjid,175,41.47,248.82,165.88,215.64
Rumah Tinggal,228,45.45,454.53,204.54,272.72
Rumah Tinggal,111,20.06,200.6,90.27,120.36
Rumah Tinggal,147,26.59,265.88,119.65,159.53
Kantor Desa,178,36.97,201.65,168.04,184.84
Masjid,430,96.87,581.22,387.48,503.72
Masjid,494,131.05,786.33,524.22,681.48
Rumah Tinggal,493,89.97,899.68,404.86,539.81
Masjid,302,75.49,452.95,301.97,392.56
Kantor Desa,415,95.9,523.11,435.93,479.52
Kantor Desa,338,68.53,373.78,311.49,342.64
Masjid,439,120.11,720.65,480.44,624.57
Rumah Tinggal,352,63.87,638.65,287.39,383.19
Rumah Tinggal,187,36.52,365.18,164.33,219.11
Masjid,56,14.54,87.23,58.15,75.6
Masjid,151,34.31,205.84,137.23,178.4
Masjid,465,110.45,662.69,441.79,574.33
Rumah Tinggal,493,93.07,930.67,418.8,558.4
Rumah Tinggal,285,61.83,618.35,278.26,371.01
Kantor Desa,258,55.35,301.89,251.58,276.74
Rumah Tinggal,473,100.37,1003.66,451.65,602.19
Masjid,456,112.12,672.72,448.48,583.03
Kantor Desa,76,16.53,90.19,75.16,82.67
Kantor Desa,437,92.38,503.91,419.93,461.92
Rumah Tinggal,434,88.58,885.81,398.61,531.49
Kantor Desa,377,86.57,472.2,393.5,432.85
Rumah Tinggal,336,65.86,658.58,296.36,395.15
Rumah Tinggal,213,39.6,396.01,178.2,237.6
Kantor Desa,248,57.67,314.58,262.15,288.36
Kantor Desa,461,100.35,547.37,456.14,501.76
Masjid,278,71.57,429.41,286.27,372.15
Masjid,421,104.11,624.66,416.44,541.38
Kantor Desa,310,62.52,341.03,284.19,312.61
Rumah Tinggal,72,13.4,133.96,60.28,80.38
Masjid,102,26.64,159.82,106.55,138.51
Kantor Desa,471,104.57,570.39,475.32,522.86
Kantor Desa,335,66.35,361.92,301.6,331.76
Kantor Desa,225,51.18,279.16,232.63,255.9
Masjid,81,20.51,123.09,82.06,106.68
Masjid,487,124.82,748.93,499.29,649.08
Rumah Tinggal,80,16.16,161.56,72.7,96.94
Masjid,74,18.35,110.09,73.4,95.41
Masjid,458,117.87,707.23,471.49,612.93
Kantor Desa,275,56.24,306.78,255.65,281.22
Masjid,293,78.24,469.46,312.97,406.86
Rumah Tinggal,452,86.24,862.4,388.08,517.44
Masjid,433,101.55,609.31,406.2,528.07
Kantor Desa,138,30.91,168.6,140.5,154.55
Rumah Tinggal,439,81.02,810.21,364.59,486.12
Kantor Desa,257,54.43,296.87,247.39,272.13
Kantor Desa,455,95.34,520.02,433.35,476.68
Rumah Tinggal,263,49.61,496.08,223.24,297.65
Rumah Tinggal,400,78.87,788.69,354.91,473.21
Rumah Tinggal,385,77.9,779.01,350.56,467.41
Kantor Desa,429,85.27,465.11,387.59,426.35
Rumah Tinggal,88,18.15,181.54,81.69,108.92
Kantor Desa,430,87.69,478.32,398.6,438.46
Kantor Desa,139,30.83,168.14,140.12,154.13
Masjid,245,59.56,357.38,238.25,309.73
Rumah Tinggal,75,15.95,159.45,71.75,95.67
Kantor Desa,260,57.19,311.93,259.94,285.94
Rumah Tinggal,201,43.74,437.38,196.82,262.43
Kantor Desa,139,32.83,179.1,149.25,164.17
Masjid,473,128.04,768.22,512.14,665.79
Kantor Desa,65,14.07,76.76,63.97,70.37
