kode,divisi,uraian,satuan,harga_satuan
H.098,H,Pasang kaca bening tebal 5mm,m2,203522
H.099,H,Pasang kaca rayben tebal 5mm,m2,208747
H.100,H,Pasang kunci tanam biasa (2 slaag),Bh,269060
H.101,H,Pasang kunci tanam kamar mandi (bulat),Bh,273108
H.102,H,Pasang engsel pintu nylon/kuningan (4 inch),Bh,74580
H.103,H,Pasang engsel jendela (3 inch),Bh,75768
H.104,H,Pasang grendel pintu/jendela,Bh,75614
H.105,H,Pasang hak angin jendela,Ps,76054
H.106,H,Pasang door closer,Bh,72226
H.107,H,Pasang door stop,Bh,71698
I.108,I,Pasang rangka atap baja ringan (profil C75.75),m2,305305
I.109,I,Pasang reng baja ringan (profil R32.45),m2,74558
I.110,I,Pasang kuda-kuda kayu Kelas II (bentang 6m),m3,165060
I.111,I,Pasang gording kayu Kelas II,m3,74184
I.112,I,Pasang kaso & reng kayu Kelas II,m2,72600
I.113,I,Pasang atap genteng keramik (glazur),m2,281446
I.114,I,Pasang atap genteng beton,m2,179914
I.115,I,Pasang atap genteng metal pasir,m2,75086
I.116,I,Pasang atap asbes gelombang,m2,74954
I.117,I,Pasang atap seng gelombang/galvalum,m2,75086
I.118,I,Pasang atap spandek,m2,169174
I.119,I,Pasang atap polycarbonate (canopy),m2,72886
I.120,I,Pasang bubungan (nok) genteng keramik,m1,74602
I.121,I,Pasang bubungan (nok) genteng beton,m1,187306
I.122,I,Pasang bubungan (nok) genteng metal,m1,71148
I.123,I,Pasang lisplang kayu (2x20 cm),m1,75240
I.124,I,Pasang lisplang GRC (20 cm),m1,72446
I.125,I,Pasang talang air PVC,m1,76406
I.126,I,Pasang talang jurai seng/alumunium,m1,73282
I.127,I,Pasang lapisan alumunium foil,m2,74602
J.128,J,Pasang rangka plafond hollow besi (40x40 & 20x40),m2,73414
J.129,J,Pasang rangka plafond kayu,m2,74206
J.130,J,Pasang penutup plafond gypsum board (9mm),m2,294151
J.131,J,Pasang penutup plafond GRC/Kalsiboard (4mm),m2,72732
J.132,J,Pasang penutup plafond triplek (3mm/4mm),m2,73282
J.133,J,Pasang list profil plafond gypsum,m1,75240
J.134,J,Pasang list plafond kayu,m1,74580
J.135,J,Pasang shadow line (tali air) plafond gypsum,m1,73150
K.136,K,Mengerok cat lama,m2,92103
K.137,K,Plamir dinding,m2,70246
K.138,K,Cat dasar (alkali sealer) dinding eksterior,m2,93159
K.139,K,Cat dinding interior (3x lapis) standar,m2,133023
K.140,K,Cat dinding interior (3x lapis) premium,m2,132231
K.141,K,Cat dinding eksterior (weathershield) 3x lapis,m2,158620
K.142,K,Cat plafond gypsum/GRC,m2,91410
K.143,K,Cat kayu (kusen/pintu) dengan cat minyak,m2,89727
K.144,K,Politur/Melamik kayu (finishing natural),m2,93951
K.145,K,Cat besi (pagar/tralis),m2,161667
K.146,K,Cat meni besi (anti karat),m2,94842
K.147,K,Pelapisan waterproofing dak beton,m2,75922
K.148,K,Pelapisan waterproofing dinding luar,m2,75482
L.149,L,Galian tanah untuk pipa air,m3,172799
L.150,L,Pasang pipa air bersih PVC 1/2 inch,m1,169917
L.151,L,Pasang pipa air bersih PVC 3/4 inch,m1,172161
L.152,L,Pasang pipa air bersih PVC 1 inch,m1,175956
L.153,L,Pasang pipa air bersih PPR (Air Panas),m1,173195
L.154,L,Pasang pipa air kotor PVC 2 inch,m1,169928
L.155,L,Pasang pipa air kotor PVC 3 inch,m1,176847
L.156,L,Pasang pipa air kotor/tinja PVC 4 inch,m1,172610
L.157,L,Pasang aksesoris pipa (Fitting),Bh,70356
L.158,L,Pasang Gate Valve / Stop Kran,Bh,75372
L.159,L,Pasang Kloset Jongkok,Unit,2350832
L.160,L,Pasang Kloset Duduk Monoblock,Unit,2346564
L.161,L,Pasang Wastafel Gantung/Meja,Unit,72358
L.162,L,Pasang Urinoir,Unit,74734
L.163,L,Pasang Kran Air,Bh,75086
L.164,L,Pasang Kran Shower / Shower Mandi,Set,75768
L.165,L,Pasang Floor Drain,Bh,71170
L.166,L,Pasang Kitchen Sink 1 Lubang,Unit,72578
L.167,L,Pasang Kitchen Sink 2 Lubang,Unit,76164
L.168,L,Pasang Tangki Air 500-1000L,Unit,73260
L.169,L,Pasang Pompa Air,Unit,74426
L.170,L,Pembuatan Septic Tank Konvensional,Unit,4809916
L.171,L,Pemasangan Bio Septic Tank,Unit,75372
L.172,L,Pembuatan Sumur Resapan,Unit,70334
L.173,L,Pembuatan Bak Kontrol,Unit,73018
L.174,L,Pemasangan Grease Trap,Unit,72996
L.175,L,Pemasangan Roof Tank Support,Ls,71302
L.176,L,Testing & Commissioning Plumbing,Ls,70642
M.177,M,Pasang titik instalasi lampu,Titik,317047
M.178,M,Pasang titik instalasi stop kontak,Titik,71676
M.179,M,Pasang saklar tunggal,Bh,108141
M.180,M,Pasang saklar ganda,Bh,107897
M.181,M,Pasang stop kontak,Bh,72622
M.182,M,Pasang stop kontak AC,Bh,74954
M.183,M,Pasang lampu downlight,Bh,117414
M.184,M,Pasang lampu plafon (outbow),Bh,123656
M.185,M,Pasang lampu gantung/hias,Bh,122001
M.186,M,Pasang lampu taman/dinding,Bh,122655
M.187,M,Pasang lampu TL / LED Strip,Bh,124975
M.188,M,Pasang Box MCB,Unit,75240
M.189,M,Pasang MCB,Bh,73942
M.190,M,Pasang Kabel Feeder,m1,72226
M.191,M,Pasang Grounding,Unit,74448
M.192,M,Pasang Penangkal Petir,Unit,74162
M.193,M,Pasang Exhaust Fan,Unit,76164
M.194,M,Instalasi Telepon/Data/TV/CCTV,Titik,74030
M.195,M,Testing & Commissioning Elektrikal,Ls,75636
N.196,N,Pembuatan pagar besi hollow,m2,160880
N.197,N,Pembuatan kanopi rangka besi,m2,136136
N.198,N,Pekerjaan taman (rumput),m2,71654
N.199,N,Pembersihan akhir,Ls,74998
